Boxes of Apples Demanded,Price of Apples,Price of Oranges (Substitues),Price of Boxes (Compliments),Price of Gas,Sales Tax Rate
20,30,18,1.5,4.31,0.15
21,31,18,1.4,4.48,0.15
21,30,19,1.6,4.06,0.15
22,30,19,1.5,4.08,0.15
22,29,19,1.6,4.37,0.15
24,29,20,1.4,4.21,0.15
25,29,20,1.4,3.09,0.15
25,27,20,1.7,3.04,0.2
26,27,20,1.6,3.49,0.2
27,28,21,1.5,3.32,0.2
32,26,22,1.1,2.82,0.2
32,26,22,1.1,2.88,0.2
34,27,22,1.3,3.34,0.2
34,25,23,1.3,2.55,0.2
35,23,23,1.2,3.02,0.15
37,22,24,1.5,3.29,0.15
37,22,25,1.1,3.21,0.15
39,21,26,1.4,3.28,0.15
40,19,28,1.4,3.48,0.15
