DATE,SP500_PCH
7/18/14,0.22191
7/25/14,0.42763
8/1/14,-1.36966
8/8/14,-1.57702
8/15/14,1.11251
8/22/14,1.98394
8/29/14,0.78171
9/5/14,0.12282
9/12/14,-0.41746
9/19/14,0.37899
9/26/14,-0.82187
10/3/14,-1.1475
10/10/14,-1.09242
10/17/14,-3.49062
10/24/14,3.45295
10/31/14,2.62062
11/7/14,1.75956
11/14/14,0.77823
11/21/14,0.61548
11/28/14,0.85735
12/5/14,-0.04279
12/12/14,-1.52471
12/19/14,-0.75403
12/26/14,3.03805
1/2/15,-0.5202
1/9/15,-1.96896
1/16/15,-0.8014
1/23/15,1.36382
1/30/15,-1.04788
2/6/15,1.24037
2/13/15,1.35821
2/20/15,1.35382
2/27/15,0.42368
3/6/15,-0.55182
3/13/15,-2.02763
3/20/15,1.64502
3/27/15,-0.74816
4/3/15,-0.2233
4/10/15,0.78365
4/17/15,0.46951
4/24/15,0.52666
5/1/15,-0.11332
5/8/15,-0.3433
5/15/15,0.55834
5/22/15,0.88179
5/29/15,-0.6573
6/5/15,-0.43288
6/12/15,-0.53658
6/19/15,0.42789
6/26/15,0.44747
7/3/15,-2.04313
7/10/15,-0.18347
7/17/15,2.34554
7/24/15,-0.22183
7/31/15,-0.5834
8/7/15,-0.28239
8/14/15,-0.02966
8/21/15,-1.56605
8/28/15,-5.90856
9/4/15,0.30358
9/11/15,0.75972
9/18/15,0.9577
9/25/15,-1.64674
10/2/15,-1.55456
10/9/15,4.49793
10/16/15,0.81312
10/23/15,1.37674
10/30/15,1.81333
11/6/15,1.14552
11/13/15,-2.00632
11/20/15,0.51736
11/27/15,0.82806
12/4/15,-0.37849
12/11/15,-1.45119
12/18/15,-0.65367
12/25/15,0.45053
1/1/16,0.69343
1/8/16,-4.0567
1/15/16,-3.33797
1/22/16,-1.66526
1/29/16,1.08105
2/5/16,0.55995
2/12/16,-3.13148
2/19/16,3.4713
2/26/16,1.29336
3/4/16,2.00179
3/11/16,0.92635
3/18/16,1.71228
3/25/16,0.63629
4/1/16,0.69456
4/8/16,-0.20469
4/15/16,0.80029
4/22/16,1.26536
4/29/16,-0.61876
5/6/16,-1.07587
5/13/16,0.14141
5/20/16,-0.62414
5/27/16,1.46228
6/3/16,0.93283
