DATE,SP500_PCH
41828,-0.70488
41829,0.46443
41830,-0.41311
41831,0.1471
41834,0.48435
41835,-0.19321
41836,0.42011
41837,-1.18341
41838,1.02649
41841,-0.23203
41842,0.50161
41843,0.17544
41844,0.04882
41845,-0.48491
41848,0.02881
41849,-0.45277
41850,0.00609
41851,-1.99993
41852,-0.28591
41855,0.71891
41856,-0.96855
41857,0.00156
41858,-0.55566
41859,1.15314
41862,0.27594
41863,-0.16366
41864,0.67072
41865,0.43458
41866,-0.00614
41869,0.85317
41870,0.50007
41871,0.24778
41872,0.29499
41873,-0.19926
41876,0.47878
41877,0.10511
41878,0.005
41879,-0.16899
41880,0.33204
41885,-0.07791
41886,-0.15344
41887,0.50359
41890,-0.30732
41891,-0.6545
41892,0.36461
41893,0.08819
41894,-0.59626
41897,-0.07101
41898,0.74844
41899,0.12957
41900,0.48912
41901,-0.04773
41904,-0.80133
41905,-0.57765
41906,0.78325
41907,-1.61687
41908,0.85758
41911,-0.25468
41912,-0.27859
41913,-1.32486
41914,0.00051
41915,1.11655
41918,-0.15651
41919,-1.51261
41920,1.74616
41921,-2.06614
41922,-1.1451
41925,-1.64679
41926,0.15789
41927,-0.81003
41928,0.0145
41929,1.28841
41932,0.91427
41933,1.95745
41934,-0.72993
41935,1.23034
41936,0.70534
41939,-0.15016
41940,1.19391
41941,-0.13854
41942,0.62301
41943,1.17314
41946,-0.01189
41947,-0.28298
41948,0.57005
41949,0.37755
41950,0.03495
41953,0.31202
41954,0.06967
41955,-0.07011
41956,0.05299
41957,0.02403
41960,0.07354
41961,0.51339
41962,-0.15011
41963,0.19671
41964,0.52369
41967,0.28641
41968,-0.11501
41969,0.2806
41974,-0.68293
41975,0.63844
41976,0.37647
41977,-0.11618
41978,0.16651
41981,-0.72565
41982,-0.02378
41983,-1.63509
41984,0.45357
41985,-1.62136
41988,-0.63426
41989,-0.8489
41990,2.03524
41991,2.40152
41992,0.45701
41995,0.38104
41996,0.17464
41997,-0.01393
42002,0.08618
42003,-0.48886
42004,-1.03108
42009,-1.82781
42010,-0.88935
42011,1.16298
42012,1.78883
42013,-0.84039
42016,-0.80937
42017,-0.25786
42018,-0.58131
42019,-0.92479
42020,1.34242
42025,0.47317
42026,1.52698
42027,-0.54916
42030,0.25685
42031,-1.33878
42032,-1.34956
42033,0.95347
42034,-1.2992
42037,1.29625
42038,1.44395
42039,-0.4156
42040,1.02914
42041,-0.34181
42044,-0.42472
42045,1.06755
42046,-0.0029
42047,0.96445
42048,0.40747
42053,-0.03142
42054,-0.10621
42055,0.61265
42058,-0.03033
42059,0.27587
42060,-0.07658
42061,-0.1476
42062,-0.29563
42065,0.6125
42066,-0.45386
42067,-0.43885
42068,0.11961
42069,-1.41739
42072,0.39445
42073,-1.69614
42074,-0.19177
42075,1.26015
42076,-0.60747
42079,1.35337
42080,-0.33202
42081,1.21584
42082,-0.48726
42083,0.90127
42086,-0.17456
42087,-0.61395
42088,-1.45589
42089,-0.23774
42090,0.23685
42093,1.22367
42094,-0.87957
42095,-0.39654
42096,0.35297
42101,-0.20619
42102,0.26826
42103,0.44575
42104,0.52028
42107,-0.45812
42108,0.16297
42109,0.51483
42110,-0.07785
42111,-1.13112
42114,0.92351
42115,-0.14807
42116,0.50875
42117,0.23577
42118,0.22528
42121,-0.41413
42122,0.27692
42123,-0.37404
42124,-1.01289
42125,1.0923
42128,0.29408
42129,-1.18374
42130,-0.44557
42131,0.37738
42132,1.34579
42135,-0.50896
42136,-0.29497
42137,-0.03049
42138,1.07792
42139,0.07685
42142,0.3048
42143,-0.06434
42144,-0.09305
42145,0.23379
42146,-0.22339
42151,0.91626
42152,-0.12668
42153,-0.63184
42156,0.20594
42157,-0.10087
42158,0.21189
42159,-0.86232
42160,-0.14362
42163,-0.64745
42164,0.04184
42165,1.20424
42166,0.17386
42167,-0.69943
42170,-0.46225
42171,0.56898
42172,0.19797
42173,0.99027
42174,-0.53035
42177,0.60948
42178,0.06359
42179,-0.73534
42180,-0.29736
42181,-0.039
42184,-2.08661
42185,0.26584
42186,0.69361
42187,-0.03081
42192,0.60809
42193,-1.66527
42194,0.22622
42195,1.23385
42198,1.10661
42199,0.44532
42200,-0.0735
42201,0.80146
42202,0.11063
42205,0.07712
42206,-0.42617
42207,-0.23877
42208,-0.5676
42209,-1.07033
42212,-0.5775
42213,1.23861
42214,0.73188
42215,0.00285
42216,-0.22716
42219,-0.27569
42220,-0.22497
42221,0.31147
42222,-0.7753
42223,-0.28749
42226,1.28082
42227,-0.95572
42228,0.09501
42229,-0.12751
42230,0.39119
42233,0.52115
42234,-0.26255
42235,-0.8255
42236,-2.11001
42237,-3.1851
42240,-3.94137
42241,-1.3522
42242,3.90338
42243,2.42977
42244,0.06088
42247,-0.83917
42248,-2.95764
42249,1.8293
42250,0.11648
42251,-1.53296
42256,-1.38976
42257,0.5278
42258,0.4487
42261,-0.40896
42262,1.28313
42263,0.87054
42264,-0.2561
42265,-1.61642
42268,0.45658
42269,-1.23184
42270,-0.20487
42271,-0.3363
42272,-0.04658
42275,-2.56661
42276,0.12329
42277,1.90755
42278,0.19739
42279,1.43153
42282,1.82898
42283,-0.35882
42284,0.80357
42285,0.88184
42286,0.07251
42289,0.12755
42290,-0.68254
42291,-0.47163
42292,1.48528
42293,0.45705
42296,0.02705
42297,-0.14211
42298,-0.58254
42299,1.66275
42300,1.10304
42303,-0.19131
42304,-0.25541
42305,1.18399
42306,-0.04497
42307,-0.481
42310,1.18738
42311,0.27281
42312,-0.35454
42313,-0.11321
42314,-0.03476
42317,-0.98228
42318,0.15106
42319,-0.32281
42320,-1.39904
42321,-1.12074
42324,1.49033
42325,-0.13394
42326,1.61624
42327,-0.11231
42328,0.38102
42331,-0.12349
42332,0.12221
42333,-0.01292
42338,-0.46409
42339,1.06806
42340,-1.09958
42341,-1.43736
42342,2.05258
42345,-0.69896
42346,-0.64899
42347,-0.77389
42348,0.22514
42349,-1.94228
42352,0.47556
42353,1.06185
42354,1.4515
42355,-1.50405
42356,-1.77972
42359,0.77784
42360,0.88168
42361,1.2418
42362,-0.15986
42367,1.06297
42368,-0.72172
42369,-0.94118
42374,0.20123
42375,-1.31154
42376,-2.37004
42377,-1.08384
42380,0.08533
42381,0.78028
42382,-2.49654
42383,1.66959
42384,-2.15991
42389,-1.16939
42390,0.51954
42391,2.02837
42394,-1.56379
42395,1.41443
42396,-1.08635
42397,0.55286
42398,2.47602
42401,-0.04432
42402,-1.87431
42403,0.4992
42404,0.15268
42405,-1.84813
42408,-1.41539
42409,-0.06636
42410,-0.0189
42411,-1.23011
42412,1.9518
42417,1.64804
42418,-0.46657
42419,-0.00261
42422,1.44542
42423,-1.24544
42424,0.44398
42425,1.13483
42426,-0.18702
42429,-0.81209
42430,2.38688
42431,0.40943
42432,0.34987
42433,0.33059
42436,0.0885
42437,-1.12401
42438,0.50524
42439,0.01558
42440,1.63955
42443,-0.1261
42444,-0.1837
42445,0.56004
42446,0.65952
42447,0.44056
42450,0.09856
42451,-0.08774
42452,-0.6386
42453,-0.03781
42458,0.88167
42459,0.43503
42460,-0.20398
42461,0.63309
42464,-0.32083
42465,-1.01446
42466,1.05077
42467,-1.19758
42468,0.27866
42471,-0.27398
42472,0.96621
42473,1.00402
42474,0.01729
42475,-0.09843
42478,0.6541
42479,0.30845
42480,0.07616
42481,-0.51941
42482,0.00478
42485,-0.1812
42486,0.18728
42487,0.16494
42488,-0.92308
42489,-0.50631
42492,0.781
42493,-0.86767
42494,-0.59369
42495,-0.02389
42496,0.31746
42499,0.07535
42500,1.24837
42501,-0.95616
42502,-0.01695
42503,-0.84782
42506,0.97967
42507,-0.94113
42508,0.02052
42509,-0.37067
42510,0.60195
42513,-0.20854
42514,1.36814
42515,0.69748
42516,-0.02105
42517,0.42869
42522,0.11302
42523,0.28247
42524,-0.29118
42527,0.48973
42528,0.12895
42529,0.33095
42530,-0.17177
42531,-0.91752
42534,-0.81152
42535,-0.17989
42536,-0.18407
42537,0.3133
42538,-0.3258
42541,0.58082
42542,0.27121
42543,-0.16516
42544,1.3364
42545,-3.59198
42548,-1.80965
42549,1.77702
42550,1.70326
42551,1.3565
42552,0.19487
42557,0.5353
42558,-0.08715
42559,1.52533
42562,0.34086
42563,0.70093
42564,0.01347
42565,0.52592
42566,-0.09289
42569,0.23823
42570,-0.14352
42571,0.42703
42572,-0.36125
42573,0.45539
42576,-0.30115
42577,0.03228
42578,-0.11986
42579,0.16062
42580,0.16313
42583,-0.12698
42584,-0.63616
42585,0.31339
42586,0.02126
42587,0.86034
42590,-0.09071
42591,0.03897
42592,-0.28647
42593,0.47346
42594,-0.07961
42597,0.2793
42598,-0.54791
42599,0.18686
42600,0.21996
42601,-0.14403
42604,-0.05632
42605,0.19518
42606,-0.52403
42607,-0.13652
42608,-0.15788
42611,0.52281
42612,-0.19538
42613,-0.23758
42614,-0.00415
42615,0.42011
42620,-0.01464
42621,-0.22231
42622,-2.45221
42625,1.46771
42626,-1.48307
42627,-0.05877
42628,1.01093
42629,-0.37722
42632,-0.00187
42633,0.02992
42634,1.09171
42635,0.64999
42636,-0.57368
42639,-0.85878
42640,0.64442
42641,0.52965
42642,-0.93213
42643,0.79679
42646,-0.32607
42647,-0.49556
42648,0.42967
42649,0.04815
42650,-0.32535
42653,0.46059
42654,-1.24465
42655,0.11466
42656,-0.30993
42657,0.02016
42660,-0.3038
42661,0.61604
42662,0.2192
42663,-0.13757
42664,-0.00841
42667,0.47498
42668,-0.37977
42669,-0.17404
42670,-0.29868
42671,-0.31082
42674,-0.01223
42675,-0.67869
42676,-0.65255
42677,-0.44234
42678,-0.16661
42681,2.22235
42682,0.3772
42683,1.1077
42684,0.19508
42685,-0.13979
42688,-0.01155
42689,0.74808
42690,-0.15823
42691,0.46763
42692,-0.23867
42695,0.74614
42696,0.21654
42697,0.0808
42702,-0.52545
42703,0.13353
42704,-0.26535
42705,-0.35155
42706,0.03971
42709,0.58213
42710,0.34109
42711,1.31632
42712,0.21594
42713,0.59389
42716,-0.11374
42717,0.65398
42718,-0.81172
42719,0.38832
42720,-0.17506
42723,0.19751
42724,0.36375
42725,-0.24573
42726,-0.1863
42727,0.12517
42732,-0.83565
42733,-0.02933
42734,-0.46371
42739,0.57223
42740,-0.07707
42741,0.3517
42744,-0.35486
42745,0
42746,0.28296
