"ID","ID2","Item title","Final URL","Image URL","Item subtitle","Item description","Item category","Price","Sale price","Contextual keywords","Item address","Tracking template","Custom parameter","Final mobile URL"
"KL79MPSL0RB114235","2136965025","2024 Chevrolet Trailblazer LT","https://www.schmittchevrolet.com/VehicleDetails/KL79MPSL0RB114235","https://cdn.getauto.com/photos/3/156863/1c/KL79MPSL0RB114235-1c.jpg","At your Wood River dealership","The Chevrolet Trailblazer LT is a 2024 Vehicle with a Front Wheel Drive, 1.3 liter 3 cylinder engine, and a turbocharged powertrain. It has a crimson metallic exterior and a jet black, cloth seat trim interior. It has a crash test rating of 5 out of 5 stars, making it one of the safest vehicles on the road today. With its powerful engine and advanced safety features, the Chevrolet Trailblazer LT is sure to be a reliable and comfortable ride for years to come.","SUV","25990 USD","25490 USD","Wood River car dealers; SUVs for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"1GKKNKLA5MZ224400","2137027960","2021 GMC Acadia SLE","https://www.schmittchevrolet.com/VehicleDetails/1GKKNKLA5MZ224400","https://cdn.getauto.com/photos/3/156863/1c/1GKKNKLA5MZ224400-1c.jpg","At your Wood River dealership","This 2021 GMC Acadia SLE is a reliable and luxurious vehicle. It has a 2.5 liter 4 cylinder engine with fuel injection and an ebony twilight metallic exterior. It has driven 37,530 miles and has a crash test rating of 5 out of 5 stars. The vehicle also features touch screen display, Bluetooth audio connection, blind spot sensor, Bluetooth phone connectivity, and a 5 star crash test rating. With all these features, this car is sure to turn heads wherever it goes!","SUV","26890 USD","26890 USD","Wood River car dealers; SUVs for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"1GCHSCEA1M1249844","2137108824","2021 Chevrolet Colorado LT","https://www.schmittchevrolet.com/VehicleDetails/1GCHSCEA1M1249844","https://cdn.getauto.com/photos/3/156863/1c/1GCHSCEA1M1249844-1c.jpg","At your Wood River dealership","This 2021 Chevrolet Colorado LT Extended Cab Pickup is a reliable and safe vehicle that has been driven 49,457 miles. It has a 4x2 2.5 liter 4 cylinder engine with fuel injection and a black exterior and interior. It has been awarded a 4 out of 5 star crash test rating and features such as a touch screen display, Bluetooth audio connection, hill start assist, Apple Carplay ready, and Bluetooth phone connectivity. This car is sure to make any driver feel safe and secure on the roads.","Pickup","22490 USD","22490 USD","Wood River car dealers; Pickups for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"JTNKHMBX5M1122898","2137195159","2021 Toyota C-HR LE","https://www.schmittchevrolet.com/VehicleDetails/JTNKHMBX5M1122898","https://cdn.getauto.com/photos/3/156863/1c/JTNKHMBX5M1122898-1c.jpg","At your Wood River dealership","This vehicle is a 2021 Toyota C-HR LE with low mileage of 9,610 miles. It is a Front Wheel Drive (FWD) vehicle with a 2.0 liter 4 cylinder engine and sequential port fuel injection. It has an oxide bronze exterior and a black interior. It has a crash test rating of 5 out of 5 stars and features such as touch screen display, Bluetooth audio connection, hill start assist, Apple Carplay ready, and Bluetooth phone connectivity. This car is sure to turn heads with its sleek design and impressive fuel economy ratings of 27 mpg in the city and 31 mpg on the highway. With its low price point and high quality features, this car is sure to be a great investment for anyone looking for a reliable car that offers great value.","Wagon","24990 USD","24990 USD","Wood River car dealers; Wagons for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"5YJ3E1EAXPF437926","2137336270","2023 Tesla Model 3 Base","https://www.schmittchevrolet.com/VehicleDetails/5YJ3E1EAXPF437926","","At your Wood River dealership","This vehicle is a 2023 Tesla Model 3 Base with 18,831 miles. It is a RWD car with a white exterior and features such as blind spot sensor, hill start assist, and navigation with voice recognition and touch screen display. This car is sure to turn heads wherever it goes and make any journey more enjoyable.","Sedan","0 USD","0 USD","Wood River car dealers; Sedans for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"ZFBHRFABXN6X27276","2137342899","2022 Ram ProMaster City Base","https://www.schmittchevrolet.com/VehicleDetails/ZFBHRFABXN6X27276","","At your Wood River dealership","This 2022 vehicle is a Mini Van ProMaster City Base with low mileage of 9,199 miles. It is equipped with a 2.4 liter 4 cylinder engine and sequential port fuel injection, providing a powerful yet fuel efficient drive. The exterior of this car is a bright white color and the interior is finished in black leather. Hill start assist is also included to make driving easier. This car is sure to turn heads on the road and provide you with reliable transportation for years to come.","Mini-Van","0 USD","0 USD","Wood River car dealers; Mini-Vans for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"1GCWGBFP7J1320384","2136186683","2018 Chevrolet Express Work Van Cargo","https://www.schmittchevrolet.com/VehicleDetails/1GCWGBFP7J1320384","","At your Wood River dealership","This 2018 Chevrolet Extended Van Express Work Van Cargo is a reliable and efficient motorcar that has been driven 133,706 miles. It is powered by a 4.3 liter 6 cylinder engine with fuel injection and has a summit white exterior with a medium pewter interior. This car is sure to turn heads on the road and provide you with years of reliable service.","Extended Van","19990 USD","19990 USD","Wood River car dealers; Extended Vans for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"3GCPDCEK8RG181467","2136603529","2024 Chevrolet Silverado 1500 Custom Trail Boss","https://www.schmittchevrolet.com/VehicleDetails/3GCPDCEK8RG181467","https://cdn.getauto.com/photos/3/156863/1c/3GCPDCEK8RG181467-1c.jpg","At your Wood River dealership","The 2024 Chevrolet Silverado 1500 Custom Trail Boss is a powerful and reliable vehicle. It is equipped with a 2.7 liter 4 cylinder engine, turbocharged, and has a black exterior with a jet black cloth seat trim interior. This car has been crash tested to achieve a 5 out of 5 stars rating, making it one of the safest cars on the road today. With its powerful 4x4 capabilities and modern features, this car is sure to be a reliable companion for any driver.","Crew Cab 4X4","53585 USD","50085 USD","Wood River car dealers; Crew Cab 4X4s for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"1GCUDEED4RZ221592","2136816789","2024 Chevrolet Silverado 1500 RST","https://www.schmittchevrolet.com/VehicleDetails/1GCUDEED4RZ221592","https://cdn.getauto.com/photos/3/156863/1c/1GCUDEED4RZ221592-1c.jpg","At your Wood River dealership","The 2024 Chevrolet Silverado 1500 RST is a powerful and reliable 4x4 vehicle. It is equipped with a 5.3 liter EcoTec3 V8 355hp 383 lb-ft engine, direct injection, and has been crash tested to achieve a 5 out of 5 stars rating. This vehicle also features a touch screen display, Bluetooth audio connection, hill start assist, part time with on demand four wheel drive, and Bluetooth phone connectivity. With all these features, the 2024 Chevrolet Silverado 1500 RST is sure to be a reliable and comfortable choice for any driver.","Other","60560 USD","52560 USD","Wood River car dealers; Others for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"1FT8W4DT5PEC39358","2136826630","2023 Ford F-450 Super Duty XL","https://www.schmittchevrolet.com/VehicleDetails/1FT8W4DT5PEC39358","https://cdn.getauto.com/photos/3/156863/1c/1FT8W4DT5PEC39358-1c.jpg","At your Wood River dealership","This vehicle is a 2023 Ford F-450 Super Duty XL Crew Cab 4x4, with low mileage of 463 miles. It is powered by a 6.7 liter 8 cylinder engine and has an oxford white exterior with a medium dark slate interior. Vehicle features include touch screen display, Bluetooth audio connection, hill start assist, part time four wheel drive, Bluetooth phone connectivity, and more. This car is the perfect combination of style and power, perfect for any driver looking for a reliable ride.","Crew Cab 4X4","74990 USD","74990 USD","Wood River car dealers; Crew Cab 4X4s for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"5N1DR3CC9PC243390","2137035293","2023 Nissan Pathfinder SL","https://www.schmittchevrolet.com/VehicleDetails/5N1DR3CC9PC243390","https://cdn.getauto.com/photos/3/156863/1c/5N1DR3CC9PC243390-1c.jpg","At your Wood River dealership","This vehicle is a 2023 Nissan Pathfinder SL SUV all wheel drive with low mileage of 5,022 miles. It is equipped with a 3.5 liter 6 cylinder engine and sequential port fuel injection, making it an efficient and powerful motorcar. The pearl white tricoat exterior and charcoal interior give it a sleek and modern look, while the 5 out of 5 stars crash test rating ensures safety and peace of mind. Features include touch screen display, Bluetooth audio connection, blind spot sensor, hill start assist, on demand four wheel drive, navigation system with voice recognition, and Bluetooth phone connectivity for convenience. This car is truly one of a kind!","SUV","39890 USD","39890 USD","Wood River car dealers; SUVs for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"1C3CDFBA3DD292370","2137269110","2013 Dodge Dart SXT/Rallye","https://www.schmittchevrolet.com/VehicleDetails/1C3CDFBA3DD292370","","At your Wood River dealership","This 2013 Dodge Dart SXT/Rallye is a reliable and efficient motorcar that has been driven 124,750 miles. It features a 2.0 liter 4 cylinder engine with sequential port fuel injection, and FWD capabilities. The car's blue streak pearlcoat exterior and black interior give it a sleek and modern look, while the hill start assist feature adds to its practicality. This car is sure to turn heads wherever it goes!","Sedan","0 USD","0 USD","Wood River car dealers; Sedans for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"1G1JG6SB0L4121098","2137342898","2020 Chevrolet Sonic LT","https://www.schmittchevrolet.com/VehicleDetails/1G1JG6SB0L4121098","","At your Wood River dealership","This 2020 Chevrolet Sonic LT Hatchback is a reliable and safe motorcar. It has a 1.4 liter 4 cylinder engine with sequential port fuel injection, and has been driven 50,449 miles. It has a red hot exterior and a jet black/dark titanium interior, with a crash test rating of 5 out of 5 stars. It also comes equipped with hill start assist, making it easy to get going even in slippery conditions. This vehicle is sure to turn heads wherever it goes!","Hatchback","0 USD","0 USD","Wood River car dealers; Hatchbacks for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"1GYKNCRS4MZ108875","2137342901","2021 Cadillac XT5 Premium Luxury","https://www.schmittchevrolet.com/VehicleDetails/1GYKNCRS4MZ108875","","At your Wood River dealership","This 2021 Cadillac XT5 Premium Luxury Vehicle is a marvel of automotive engineering. Boasting a low mileage of 21,313 miles, this car is sure to turn heads. It is powered by a 3.6 liter 6 cylinder engine with fuel injection and has a FWD drivetrain for optimal performance. The exterior is finished in a sedona sauvage color and the interior is upholstered in a luxurious black leather. Safety features include blind spot sensor and hill start assist, making this car an excellent choice for those looking for a reliable and luxurious ride.","SUV","0 USD","0 USD","Wood River car dealers; SUVs for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"1GKS2AKD6NR277218","2136826635","2022 GMC Yukon SLE","https://www.schmittchevrolet.com/VehicleDetails/1GKS2AKD6NR277218","https://cdn.getauto.com/photos/3/156863/1c/1GKS2AKD6NR277218-1c.jpg","At your Wood River dealership","This 2022 GMC Yukon SLE 4x4 is a state-of-the-art motorcar. It has been driven 21,864 miles and is powered by a 5.3 liter 8 cylinder engine with fuel injection. The exterior is a sumptuous jet black while the interior is clad in a luxurious summit white. This vehicle has been awarded a 4 out of 5 star crash test rating and features such as a touch screen display, Bluetooth audio connection, hill start assist, part time with on demand four wheel drive, and Bluetooth phone connectivity. This automobile is sure to turn heads wherever it goes!","SUV","54990 USD","54990 USD","Wood River car dealers; SUVs for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"5N1BT3AB7PC748105","2136863660","2023 Nissan Rogue S","https://www.schmittchevrolet.com/VehicleDetails/5N1BT3AB7PC748105","https://cdn.getauto.com/photos/3/156863/1c/5N1BT3AB7PC748105-1c.jpg","At your Wood River dealership","This vehicle is a 2023 Nissan Rogue S, an all wheel drive with a 1.5 liter 3 cylinder engine and turbocharged power. It has a caspian blue metallic exterior and a charcoal interior, giving it a sleek and modern look. It has low mileage with 7,991 miles, and its 5 out of 5 star crash test rating ensures that you will be safe while driving. This vehicle also offers many features such as touch screen display, Bluetooth audio connection, blind spot sensor, hill start assist, on demand four wheel drive, Apple Carplay ready, and Bluetooth phone connectivity. With all these features, this car is sure to turn heads on the road!","Wagon","24990 USD","24990 USD","Wood River car dealers; Wagons for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"1GCPSCEK4P1142649","2136875496","2023 Chevrolet Colorado LT","https://www.schmittchevrolet.com/VehicleDetails/1GCPSCEK4P1142649","https://cdn.getauto.com/photos/3/156863/1c/1GCPSCEK4P1142649-1c.jpg","At your Wood River dealership","This 2023 Chevrolet Crew Cab Colorado LT is a marvel of automotive engineering. With a low mileage of 1,842 miles and a 4x2 2.7 liter 4 cylinder engine, this vehicle is sure to turn heads. Its stunning silver metallic exterior is complemented by a black interior, and it has been given a crash test rating of 4 out of 5 stars. It also comes with a host of features including touch screen display, Bluetooth audio connection, hill start assist, navigation system with voice recognition, and Bluetooth phone connectivity. This car is sure to turn heads wherever it goes!","Pickup","34560 USD","34560 USD","Wood River car dealers; Pickups for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
"2G11Z5SA0K9162628","2136875501","2019 Chevrolet Impala LT","https://www.schmittchevrolet.com/VehicleDetails/2G11Z5SA0K9162628","https://cdn.getauto.com/photos/3/156863/1c/2G11Z5SA0K9162628-1c.jpg","At your Wood River dealership","This 2019 Chevrolet Impala LT is a reliable and stylish vehicle that offers a lot of value for the price. It has a low mileage of 49,591 miles and features a 2.5 liter 4 cylinder engine with fuel injection. The car has a cajun red tintcoat exterior and jet black interior, giving it a sleek and modern look. It also has a 5 out of 5 star crash test rating, making it a safe choice for drivers. Other features include touch screen display, Bluetooth audio connection, hill start assist, Apple Carplay ready, Bluetooth phone connectivity, and leather seats. This car is sure to turn heads wherever you go!","Sedan","21490 USD","21490 USD","Wood River car dealers; Sedans for sale","1870 E Edwardsville Road, Wood River, IL 62095","","",""
