Income,Income_Normal,Income_Uniform
25767,25767,50966
66021,66021,81023
76163,76163,81015
48429,48429,26673
58805,58805,31844
50591,50591,48257
26482,26482,38922
59622,59622,76450
55932,55932,43928
40803,40803,68682
56427,56427,63851
63845,63845,49242
69223,69223,75032
56530,56530,38354
67162,67162,74339
50253,50253,59867
36172,36172,78174
78139,78139,52013
43872,43872,81975
62019,62019,47016
27242,27242,30979
79488,79488,68108
68619,68619,32520
48426,48426,27515
34763,34763,55897
73655,73655,79222
86500,86500,45293
38758,38758,44049
59006,59006,62468
39690,39690,81658
56196,56196,45301
54613,54613,37850
