purchased,gender,age,visits,past_purchases
0,M,23,3,0
0,M,24,3,0
0,M,18,1,1
0,F,26,4,1
0,M,19,2,1
0,M,21,2,1
0,M,21,2,1
0,M,25,3,1
0,F,18,2,1
1,M,23,3,1
1,F,20,1,1
1,M,18,2,1
1,M,26,2,1
1,M,26,2,2
1,M,19,2,2
0,M,28,2,2
0,F,40,1,2
0,M,34,1,2
0,M,25,3,2
0,M,45,4,2
0,M,26,1,1
0,M,34,3,1
0,M,37,2,1
0,M,30,4,1
0,M,45,1,1
0,M,43,4,1
0,M,40,4,1
0,F,38,1,2
0,M,43,3,2
0,F,34,3,2
1,F,31,4,2
1,F,28,2,2
1,F,30,3,2
1,F,25,4,2
1,F,41,2,2
1,F,33,2,2
1,M,45,3,2
1,F,27,2,2
1,M,41,3,2
1,F,34,1,2
1,F,54,2,2
1,M,61,2,2
1,F,47,2,2
1,F,45,2,5
1,F,58,4,3
1,F,62,4,3
1,M,60,1,0
1,F,51,1,1
1,F,54,4,1
1,F,64,3,1
