Month,Sales,Cost,Revenue
2018-01-31,501,34956,75438
2018-02-28,547,27104,80306
2018-03-31,602,37999,84451
2018-04-30,269,31030,80753
2018-05-31,557,33046,88964
2018-06-30,504,32397,78899
2018-07-31,632,29724,71551
2018-08-31,411,28251,66873
2018-09-30,556,32833,76612
2018-10-31,329,36971,92313
2018-11-30,586,27454,81615
2018-12-31,589,37669,93378
2019-01-31,543,31333,84165
2019-02-28,434,28659,77572
2019-03-31,345,31902,76183
2019-04-30,436,33001,84258
2019-05-31,499,37429,82146
2019-06-30,431,32995,87696
2019-07-31,525,32716,76711
2019-08-31,704,23988,69642
2019-09-30,498,27847,76487
2019-10-31,462,31045,75529
2019-11-30,470,30515,74880
2019-12-31,699,19595,64317
2020-01-31,595,36102,83892
2020-02-29,549,31092,74177
2020-03-31,581,35439,86038
2020-04-30,390,14303,71583
2020-05-31,593,32470,87564
2020-06-30,635,29595,78700
2020-07-31,493,30621,80352
2020-08-31,678,34302,81588
2020-09-30,463,37888,80786
2020-10-31,390,30518,78263
2020-11-30,551,33800,83809
2020-12-31,451,35057,85265
2021-01-31,281,34579,77895
2021-02-28,516,29575,87221
2021-03-31,457,30127,82630
2021-04-30,477,27357,82378
2021-05-31,672,21771,75348
2021-06-30,519,24925,62186
2021-07-31,530,29069,81781
2021-08-31,530,30269,75068
2021-09-30,360,25745,69498
2021-10-31,433,23074,71818
2021-11-30,461,33761,85388
2021-12-31,606,30998,82395
2022-01-31,522,32266,89263
2022-02-28,432,23356,80007
2022-03-31,608,35803,91964
2022-04-30,392,36950,82696
2022-05-31,551,35295,79950
2022-06-30,527,29833,77903
2022-07-31,464,22138,78656
2022-08-31,446,29798,73504
2022-09-30,537,31820,81511
2022-10-31,485,27995,82004
2022-11-30,429,30286,84557
2022-12-31,454,41673,86493
