Date,Person_ID,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep Hours,Sleep Quality,Exercise (mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level
4/12/24,1860,32,Other,23.33,4.61,5.28,3,86,87,116,8.808920094,8,3,6
11/4/24,1769,41,Female,21.02,2.43,5.41,5,32,21,88,6.329833122,10,3,7
8/31/24,2528,20,Male,22.1,3.45,5.35,7,17,88,59,8.506305743,10,9,10
2/22/24,8041,37,Other,23.1,6.65,7.55,8,46,34,80,6.070239853,8,4,2
2/23/24,4843,46,Other,21.42,4.17,6.75,10,61,269,94,11.37499388,8,7,9
7/8/24,7439,38,Male,21.77,6.41,8.64,10,88,251,123,6.207993456,1,9,7
1/9/24,6463,18,Other,22.83,6.87,8.03,3,34,288,122,4.592357214,7,10,9
1/28/24,7278,26,Female,20.78,3.14,6.35,8,36,98,171,9.100459771,3,1,3
4/10/24,9110,31,Other,20.07,3.37,7.31,7,26,206,14,4.887126566,3,7,1
2/21/24,6116,49,Female,20.37,3.89,7.52,4,12,159,70,6.318011623,6,2,10
2/14/24,3693,45,Female,21.17,3.29,6.12,7,88,230,128,5.8234813,9,4,9
9/15/24,8526,23,Other,20.6,4.56,7.96,10,43,151,58,6.585623456,8,9,4
4/22/24,2853,29,Female,22.02,6.08,8.06,5,55,80,112,11.81291965,6,7,5
8/11/24,8392,18,Other,21.02,4.17,7.15,10,31,197,159,8.741573791,7,8,1
9/11/24,5389,41,Male,23.55,7.22,7.67,1,72,123,69,9.566502454,3,4,4
12/11/24,2986,36,Other,23.67,7.62,7.95,7,81,128,10,6.728530808,9,2,7
10/24/24,1262,33,Female,23.93,7.02,7.08,1,1,253,139,8.466347629,7,9,9
4/8/24,3255,20,Female,23.53,7.24,7.71,1,71,103,83,8.645492971,9,3,9
12/14/24,3961,35,Female,21.57,5.33,7.76,9,32,67,32,7.951149721,4,8,8
5/14/24,2218,34,Male,23.18,6.23,7.04,6,21,237,157,11.78408444,3,6,8
10/9/24,1225,38,Female,20.45,4.29,7.84,1,68,146,3,4.194527731,1,1,5
1/6/24,2060,41,Male,20.75,6.08,9.33,3,59,115,159,10.80909337,3,2,9
8/10/24,7709,20,Female,23.82,7.39,7.58,6,22,126,154,6.362324707,10,1,8
10/25/24,8343,56,Male,21.9,4.5,6.6,2,24,12,59,8.090739191,9,4,4
11/16/24,7655,33,Female,23.83,6.02,6.19,2,65,287,85,6.62522134,10,6,10
2/27/24,8509,59,Female,22.88,6.07,7.19,5,7,52,59,5.72656822,5,7,4
9/18/24,1876,49,Female,22.57,6.25,7.69,4,15,268,113,8.130402786,3,1,8
11/14/24,6177,43,Male,21.87,2.77,4.9,9,11,128,57,11.32170982,2,6,9
8/24/24,4343,56,Other,20.35,4.5,8.15,3,75,153,143,5.269171581,6,9,5
2/16/24,3141,22,Female,21.78,6.32,8.53,4,32,253,100,7.188037875,10,6,5
