Date,Value
1/1/00,50.99342831
2/1/00,54.7334714
3/1/00,59.99563111
4/1/00,63.13605971
5/1/00,58.35194729
6/1/00,54.78172609
7/1/00,53.51842563
8/1/00,47.02486946
9/1/00,41.04079719
10/1/00,41.89512009
11/1/00,41.41291058
12/1/00,45.27854049
1/1/01,51.92392454
2/1/01,52.86343951
3/1/01,57.17041837
4/1/01,61.12542494
5/1/01,59.1945918
6/1/01,58.51849467
7/1/01,51.42395185
8/1/01,45.7853926
9/1/01,48.2710435
10/1/01,43.9584474
11/1/01,46.31480237
12/1/01,47.44050363
1/1/02,54.67123455
2/1/02,61.47184518
3/1/02,63.11826688
4/1/02,68.04139604
5/1/02,65.29897666
6/1/02,62.8266125
7/1/02,57.79658678
8/1/02,58.31455637
9/1/02,51.55275151
10/1/02,48.77457814
11/1/02,54.54483579
12/1/02,54.8083127
1/1/03,63.37772719
2/1/03,64.77065975
3/1/03,70.44388194
4/1/03,75.60372247
5/1/03,76.1371872
6/1/03,72.15273656
7/1/03,67.40870344
8/1/03,62.88779261
9/1/03,57.74270198
10/1/03,58.81031158
11/1/03,61.57846842
12/1/03,69.20424445
1/1/04,73.72723658
2/1/04,75.48391969
3/1/04,84.30842198
4/1/04,85.23983544
5/1/04,84.34641004
6/1/04,84.31335258
7/1/04,81.22199904
8/1/04,77.11256024
9/1/04,71.02131092
10/1/04,71.87157525
11/1/04,75.64227282
12/1/04,81.76109025
1/1/05,85.04165152
2/1/05,91.83868205
3/1/05,94.88758409
4/1/05,97.29758675
5/1/05,101.2453057
6/1/05,99.96248006
7/1/05,93.41597976
8/1/05,91.8970658
9/1/05,88.30301801
10/1/05,86.31976049
11/1/05,91.06253717
12/1/05,98.48607313
1/1/06,101.7683479
2/1/06,111.4192873
3/1/06,108.1807638
4/1/06,117.893805
5/1/06,116.5943482
6/1/06,113.6919853
7/1/06,111.0235216
8/1/06,103.4348622
9/1/06,104.9004022
10/1/06,106.3242251
11/1/06,111.5355341
12/1/06,112.8534596
1/1/07,118.9430128
2/1/07,126.2464859
3/1/07,134.4510583
4/1/07,136.3475022
5/1/07,135.0407336
6/1/07,135.2365349
7/1/07,131.1941551
8/1/07,129.74729
9/1/07,124.5756398
10/1/07,125.8346757
11/1/07,128.9155297
12/1/07,132.3229701
1/1/08,142.7522406
2/1/08,149.6121105
3/1/08,154.710481
4/1/08,157.5408257
5/1/08,155.8295126
6/1/08,156.1687094
7/1/08,153.354571
8/1/08,149.4854455
9/1/08,149.1771745
10/1/08,151.0581017
11/1/08,157.4721178
12/1/08,159.8391556
1/1/09,167.1551008
2/1/09,173.6611082
3/1/09,175.8227116
4/1/09,183.1569722
5/1/09,184.2207145
6/1/09,187.6164842
7/1/09,179.5752781
8/1/09,177.8530947
