MonthYear,TotalSales,AverageTemperature,TotalPrecip,LocalUE,Recession,Confidence,TERMCBAUTO48NS,UsedCPI,SandP500,DisposibleIncome,GasPrice,FederalFunds,Covid,GAUsers,GAPageviews,Leads,BOBBDC,NewInventory,UsedInventory,TotalInventory,q2,q3,q4,
12-Aug,121,78,127,7.6,0,74.3,4.88,150.871,1403.448258,12961.6,3.7215,0.13,0,"1,169","8,407",358,0,66,83,149,0,1,0,
12-Sep,78,68,204,7,0,78.3,4.86,149.647,1443.419472,13053.1,3.8485,0.14,0,"3,718","24,116",271,0,91,74,165,0,1,0,
12-Oct,93,57,151,6.9,0,82.6,4.84,148.986,1437.816662,13142,3.7456,0.16,0,"3,572","24,473",312,0,84,70,154,0,0,1,
12-Nov,92,46,92,6.9,0,82.7,4.82,148.932,1394.512387,13315.7,3.45175,0.16,0,"3,356","22,900",275,0,54,82,136,0,0,1,
12-Dec,99,42,108,7.1,0,72.9,4.776666667,149.243,1422.285492,13642.7,3.3104,0.16,0,"2,941","23,321",255,0,43,117,160,0,0,1,
13-Jan,107,36,146,8,0,73.8,4.733333333,149.741,1480.39524,12845.5,3.3185,0.14,0,"3,525","27,525",359,0,56,124,180,0,0,0,
13-Feb,84,37,95,7.8,0,77.6,4.69,149.789,1512.311581,12813.9,3.67,0.15,0,"4,022","27,712",308,0,66,81,147,0,0,0,
13-Mar,128,40,146,7.4,0,78.6,4.503333333,148.912,1550.828986,12852.1,3.71125,0.14,0,"4,034","29,676",353,0,40,112,152,0,0,0,
13-Apr,134,55,378,6.6,0,76.4,4.316666667,148.577,1570.702265,12893.4,3.5702,0.15,0,"3,759","25,245",394,0,51,139,190,1,0,0,
13-May,108,65,307,7,0,84.5,4.13,148.501,1639.842723,12954.2,3.61475,0.11,0,"3,362","22,742",364,0,56,87,143,1,0,0,
13-Jun,110,73,295,7.5,0,84.1,4.24,148.742,1618.772516,12955.7,3.626,0.09,0,"3,274","23,193",410,0,48,98,146,1,0,0,
13-Jul,122,75,99,7.6,0,85.1,4.35,149.058,1668.675443,12941.8,3.591,0.09,0,"5,402","31,471",457,0,57,98,155,0,1,0,
13-Aug,120,75,57,7.3,0,82.1,4.46,149.539,1670.093639,12969.6,3.57375,0.08,0,"35,283","64,135",415,0,87,97,184,0,1,0,
13-Sep,84,71,47,6.8,0,77.5,4.446666667,150.458,1687.173505,13027.5,3.5324,0.08,0,"47,677","73,126",273,0,73,90,163,0,1,0,
13-Oct,109,57,120,6.6,0,73.2,4.433333333,151.248,1720.026532,12974.6,3.34375,0.09,0,"5,917","32,126",334,0,120,95,215,0,0,1,
13-Nov,86,42,53,6.6,0,75.1,4.42,151.993,1783.541003,12998.9,3.24275,0.08,0,"4,016","30,103",307,0,73,55,128,0,0,1,
13-Dec,80,31,141,6.7,0,82.5,4.356666667,152.457,1807.775234,13019.1,3.2764,0.09,0,"3,888","26,502",213,0,51,63,114,0,0,1,
14-Jan,85,26,50,7.4,0,81.2,4.293333333,151.535,1822.35666,13079.5,3.3125,0.07,0,"4,730","34,184",253,0,32,62,94,0,0,0,
14-Feb,94,26,57,7.6,0,81.6,4.23,150.718,1817.034739,13148,3.35625,0.07,0,"4,695","30,822",281,0,36,80,116,0,0,0,
14-Mar,118,40,105,7.3,0,80,4.32,149.641,1863.523339,13219.9,3.5332,0.08,0,"5,303","36,195",336,0,32,104,136,0,0,0,
14-Apr,89,56,307,6,0,84.1,4.41,149.217,1864.263335,13270.2,3.66075,0.09,0,"4,788","30,121",304,0,76,82,158,1,0,0,
14-May,103,67,173,6.2,0,81.9,4.5,149.006,1889.767142,13312.9,3.67275,0.09,0,"4,578","32,909",308,0,57,83,140,1,0,0,
14-Jun,117,75,268,6.4,0,82.5,4.386666667,148.921,1947.087612,13360.4,3.6916,0.1,0,"4,630","31,506",343,0,79,90,169,1,0,0,
14-Jul,109,73,67,6.7,0,81.8,4.273333333,149.216,1973.099987,13386.8,3.61125,0.09,0,"5,425","35,335",402,0,77,92,169,0,1,0,
14-Aug,98,76,160,6.4,0,82.5,4.16,149.472,1961.531907,13445.9,3.4865,0.09,0,"5,420","40,130",387,0,95,82,177,0,1,0,
14-Sep,94,66,159,5.7,0,84.6,4.126666667,149.859,1993.22619,13486.3,3.4062,0.09,0,"5,496","39,627",329,0,105,87,192,0,1,0,
14-Oct,103,57,143,5.2,0,86.9,4.093333333,148.954,1937.27435,13550.7,3.1705,0.09,0,"5,665","29,764",334,0,38,98,136,0,0,1,
14-Nov,112,39,98,5.4,0,88.8,4.06,147.488,2044.572105,13624.4,2.91225,0.09,0,"5,338","31,225",331,0,22,98,120,0,0,1,
14-Dec,92,37,82,5.3,0,93.6,4.216666667,145.83,2054.266363,13719.1,2.5426,0.12,0,"5,104","27,250",301,0,52,70,122,0,0,1,
15-Jan,119,31,58,5.9,0,98.1,4.373333333,144.875,2028.17851,13797.7,2.11575,0.11,0,"5,905","32,465",380,0,34,94,128,0,0,0,
15-Feb,94,26,48,5.8,0,95.4,4.53,147.264,2082.195794,13848,2.21625,0.11,0,"5,466","27,612",468,0,17,79,96,0,0,0,
15-Mar,133,44,122,5.7,0,93,4.403333333,147.694,2079.99044,13811.3,2.4636,0.11,0,"6,174","30,290",509,0,49,104,153,0,0,0,
15-Apr,101,59,145,5,0,95.9,4.276666667,148.404,2094.862839,13842,2.469,0.12,0,"6,332","26,771",409,0,69,93,162,1,0,0,
15-May,103,68,140,5.2,0,90.7,4.15,149.29,2111.943518,13865.6,2.71825,0.12,0,"7,524","31,506",419,0,41,82,123,1,0,0,
15-Jun,133,76,347,5.3,0,96.1,4.13,149.48,2099.283658,13874.1,2.8016,0.13,0,"8,401","32,412",462,0,48,95,143,1,0,0,
15-Jul,135,78,210,5.5,0,93.1,4.11,149.078,2094.143627,13905.7,2.7935,0.13,0,"8,144","35,318",623,0,54,123,177,0,1,0,
15-Aug,131,75,133,5,0,91.9,4.09,148.295,2039.866205,13935.8,2.6362,0.14,0,"7,542","33,587",724,0,41,106,147,0,1,0,
15-Sep,112,72,64,4.6,0,87.2,4.06,147.554,1944.402384,13972.2,2.36525,0.14,0,"6,180","26,098",512,0,45,116,161,0,1,0,
15-Oct,83,59,42,4.4,0,90,4.03,146.397,2024.812716,13996.9,2.29,0.12,0,"8,308","27,496",569,0,57,81,138,0,0,1,
15-Nov,113,49,205,4.5,0,91.3,4,144.85,2080.616504,13993.4,2.158,0.12,0,"5,706","27,092",609,0,55,115,170,0,0,1,
15-Dec,86,44,232,4.4,0,92.6,4.056666667,143.955,2054.079562,14060.2,2.0375,0.24,0,"4,589","23,333",667,0,46,82,128,0,0,1,
16-Jan,115,32,31,5.1,0,92,4.113333333,144.638,1918.597888,14121.1,1.9485,0.34,0,"5,466","31,489",712,0,26,84,110,0,0,0,
16-Feb,102,38,46,5,0,91.7,4.17,143.979,1904.418494,14135.3,1.7636,0.38,0,"5,513","30,436",921,0,42,89,131,0,0,0,
16-Mar,83,51,149,5,0,91,4.223333333,143.659,2021.95409,14135.4,1.96875,0.36,0,"5,653","29,665",580,0,61,122,183,0,0,0,
16-Apr,101,58,167,4.4,0,89,4.276666667,145.475,2075.535232,14106.2,2.11275,0.37,0,"5,846","29,226",494,0,50,85,135,1,0,0,
