area,price
7420,1330000
8960,1225000
9960,1225000
7500,1221500
7420,1141000
7500,1085000
8580,1015000
16200,1015000
8100,987000
5750,980000
13200,980000
6000,968100
6550,931000
3500,924000
7800,924000
6000,910000
6600,910000
8500,896000
4600,889000
6420,885500
4320,875000
7155,868000
8050,864500
4560,864500
8800,857500
6540,854000
6000,846300
8875,840000
7950,840000
5500,840000
7475,840000
7000,840000
4880,829500
5960,819000
6840,812000
7000,808094
7482,804300
9000,798000
6000,796250
6000,791000
6550,787500
6360,784000
6480,770000
6000,770000
6000,756000
6000,756000
6000,752500
6600,749000
4300,745500
7440,742000
7440,742000
6325,742000
6000,735000
5150,735000
6000,735000
6000,735000
11440,734300
9000,724500
7680,721000
6000,721000
6000,714000
8880,707000
6240,707000
6360,703500
11175,700000
8880,693000
13200,693000
7700,689500
6000,686000
12090,679000
4000,679000
6000,675500
5020,672000
6600,668500
4040,665000
4260,665000
6420,665000
6500,665000
5700,665000
6000,665000
6000,662900
4000,661500
10500,661500
6000,658000
3760,651000
8250,651000
6670,651000
3960,647500
7410,647500
8580,644000
5000,644000
6750,641900
4800,640500
7200,630000
6000,630000
4100,630000
9000,630000
6400,630000
6600,629300
6000,626500
6600,623000
5500,623000
5500,619500
6350,619500
5500,619500
4500,616000
5450,616000
6420,612500
3240,610750
6615,609000
6600,609000
8372,609000
4300,608300
9620,608300
6800,602000
8000,602000
6900,602000
3700,595000
6420,595000
7020,595000
6540,595000
7231,595000
6254,595000
7320,595000
6525,595000
15600,594300
7160,588000
6500,588000
5500,587300
11460,587300
4800,586600
5828,581000
5200,581000
4800,581000
7000,580300
6000,577500
5400,574000
4640,574000
5000,574000
6360,574000
5800,574000
6660,565250
10500,560000
4800,560000
4700,560000
5000,560000
10500,560000
5500,560000
6360,560000
6600,560000
5136,560000
4400,556500
5400,556500
3300,553000
3650,553000
6100,553000
6900,552300
2817,549500
7980,549500
3150,546000
6210,546000
6100,546000
6600,546000
6825,542500
6710,539000
6450,538300
7800,532000
4600,528500
4260,525000
6540,525000
5500,525000
10269,525000
8400,525000
5300,525000
3800,525000
9800,525000
8520,525000
6050,524300
7085,522900
3180,521500
4500,521500
7200,521500
3410,514500
7980,514500
3000,511000
3000,511000
11410,511000
6100,511000
5720,507500
3540,504000
7600,504000
10700,504000
6600,504000
4800,503300
8150,500500
4410,497000
7686,497000
2800,495600
5948,493500
4200,490700
4520,490000
4095,490000
4120,490000
5400,490000
4770,490000
6300,490000
5800,490000
3000,490000
2970,490000
6720,490000
4646,490000
12900,490000
3420,489300
4995,489300
4350,486500
4160,483000
6040,483000
6862,483000
4815,483000
7000,479500
8100,479500
3420,476700
9166,476000
6321,476000
10240,476000
6440,475300
5170,469000
6000,469000
3630,469000
9667,469000
5400,469000
4320,469000
3745,465500
4160,462000
3880,462000
5680,462000
2870,462000
5010,462000
4510,461300
4000,458500
3840,458500
3760,455000
3640,455000
2550,455000
5320,455000
5360,455000
3520,455000
8400,455000
4100,454300
4990,454300
3510,451500
3450,451500
9860,451500
3520,451500
4510,448000
5885,448000
4000,448000
8250,448000
4040,448000
6360,447300
