Date,NewSales,UsedSales,TotalSales,AverageTemperature,TotalRainfall,TotalSnowfall,TotalPrecip,US-Unemployment ,STL-Unemployment,UsedCPI,Recession,Confidence,Income,GasPrice,FFR,CovidOrLater,InternetLeads,GAUsers,GAPageviews,Me,MyBDC,NewInventory,UsedInventory,TotalInventory,q1,q2,q3,q4
12-Aug,58,63,121,78,127,0,127,8.1,7.6,150.871,0,74.3,12961.6,3.7215,0.13,0,358,1169,8407,0,0,66,83,149,0,0,1,0
12-Sep,40,38,78,68,204,0,204,7.8,7,149.647,0,78.3,13053.1,3.8485,0.14,0,271,3718,24116,0,0,91,74,165,0,0,1,0
12-Oct,46,47,93,57,151,0,151,7.8,6.9,148.986,0,82.6,13142,3.7456,0.16,0,312,3572,24473,0,0,84,70,154,0,0,0,1
12-Nov,42,50,92,46,91,1,92,7.7,6.9,148.932,0,82.7,13315.7,3.45175,0.16,0,275,3356,22900,0,0,54,82,136,0,0,0,1
12-Dec,45,54,99,42,101,7,108,7.9,7.1,149.243,0,72.9,13642.7,3.3104,0.16,0,255,2941,23321,0,0,43,117,160,0,0,0,1
13-Jan,49,58,107,36,136,10,146,8,8,149.741,0,73.8,12845.5,3.3185,0.14,0,359,3525,27525,0,0,56,124,180,1,0,0,0
13-Feb,38,46,84,37,76,19,95,7.7,7.8,149.789,0,77.6,12813.9,3.67,0.15,0,308,4022,27712,0,0,66,81,147,1,0,0,0
13-Mar,54,74,128,40,129,17,146,7.5,7.4,148.912,0,78.6,12852.1,3.71125,0.14,0,353,4034,29676,0,0,40,112,152,1,0,0,0
13-Apr,55,79,134,55,378,0,378,7.6,6.6,148.577,0,76.4,12893.4,3.5702,0.15,0,394,3759,25245,0,0,51,139,190,0,1,0,0
13-May,50,58,108,65,307,0,307,7.5,7,148.501,0,84.5,12954.2,3.61475,0.11,0,364,3362,22742,0,0,56,87,143,0,1,0,0
13-Jun,46,64,110,73,295,0,295,7.5,7.5,148.742,0,84.1,12955.7,3.626,0.09,0,410,3274,23193,0,0,48,98,146,0,1,0,0
13-Jul,52,70,122,75,99,0,99,7.3,7.6,149.058,0,85.1,12941.8,3.591,0.09,0,457,5402,31471,0,0,57,98,155,0,0,1,0
13-Aug,62,58,120,75,57,0,57,7.2,7.3,149.539,0,82.1,12969.6,3.57375,0.08,0,415,35283,64135,0,0,87,97,184,0,0,1,0
13-Sep,41,43,84,71,47,0,47,7.2,6.8,150.458,0,77.5,13027.5,3.5324,0.08,0,273,47677,73126,0,0,73,90,163,0,0,1,0
13-Oct,50,59,109,57,120,0,120,7.2,6.6,151.248,0,73.2,12974.6,3.34375,0.09,0,334,5917,32126,0,0,120,95,215,0,0,0,1
13-Nov,29,57,86,42,53,0,53,6.9,6.6,151.993,0,75.1,12998.9,3.24275,0.08,0,307,4016,30103,0,0,73,55,128,0,0,0,1
13-Dec,35,45,80,31,17,124,141,6.7,6.7,152.457,0,82.5,13019.1,3.2764,0.09,0,213,3888,26502,0,0,51,63,114,0,0,0,1
14-Jan,35,50,85,26,17,33,50,6.6,7.4,151.535,0,81.2,13079.5,3.3125,0.07,0,253,4730,34184,0,0,32,62,94,1,0,0,0
14-Feb,42,52,94,26,14,43,57,6.7,7.6,150.718,0,81.6,13148,3.35625,0.07,0,281,4695,30822,0,0,36,80,116,1,0,0,0
14-Mar,48,70,118,40,91,14,105,6.7,7.3,149.641,0,80,13219.9,3.5332,0.08,0,336,5303,36195,0,0,32,104,136,1,0,0,0
14-Apr,47,42,89,56,307,0,307,6.2,6,149.217,0,84.1,13270.2,3.66075,0.09,0,304,4788,30121,0,0,76,82,158,0,1,0,0
14-May,53,50,103,67,173,0,173,6.3,6.2,149.006,0,81.9,13312.9,3.67275,0.09,0,308,4578,32909,0,0,57,83,140,0,1,0,0
14-Jun,52,65,117,75,268,0,268,6.1,6.4,148.921,0,82.5,13360.4,3.6916,0.1,0,343,4630,31506,0,0,79,90,169,0,1,0,0
14-Jul,46,63,109,73,67,0,67,6.2,6.7,149.216,0,81.8,13386.8,3.61125,0.09,0,402,5425,35335,0,0,77,92,169,0,0,1,0
14-Aug,46,52,98,76,160,0,160,6.1,6.4,149.472,0,82.5,13445.9,3.4865,0.09,0,387,5420,40130,0,0,95,82,177,0,0,1,0
14-Sep,47,47,94,66,159,0,159,5.9,5.7,149.859,0,84.6,13486.3,3.4062,0.09,0,329,5496,39627,0,0,105,87,192,0,0,1,0
14-Oct,39,64,103,57,143,0,143,5.7,5.2,148.954,0,86.9,13550.7,3.1705,0.09,0,334,5665,29764,0,0,38,98,136,0,0,0,1
14-Nov,38,74,112,39,89,9,98,5.8,5.4,147.488,0,88.8,13624.4,2.91225,0.09,0,331,5338,31225,0,0,22,98,120,0,0,0,1
14-Dec,49,43,92,37,77,5,82,5.6,5.3,145.83,0,93.6,13719.1,2.5426,0.12,0,301,5104,27250,0,0,52,70,122,0,0,0,1
15-Jan,50,69,119,31,38,20,58,5.7,5.9,144.875,0,98.1,13797.7,2.11575,0.11,0,380,5905,32465,0,0,34,94,128,1,0,0,0
15-Feb,39,55,94,26,18,30,48,5.5,5.8,147.264,0,95.4,13848,2.21625,0.11,0,468,5466,27612,0,0,17,79,96,1,0,0,0
15-Mar,49,84,133,44,109,13,122,5.4,5.7,147.694,0,93,13811.3,2.4636,0.11,0,509,6174,30290,0,0,49,104,153,1,0,0,0
15-Apr,43,58,101,59,145,0,145,5.4,5,148.404,0,95.9,13842,2.469,0.12,0,409,6332,26771,0,0,69,93,162,0,1,0,0
15-May,52,51,103,68,140,0,140,5.6,5.2,149.29,0,90.7,13865.6,2.71825,0.12,0,419,7524,31506,0,0,41,82,123,0,1,0,0
15-Jun,63,70,133,76,347,0,347,5.3,5.3,149.48,0,96.1,13874.1,2.8016,0.13,0,462,8401,32412,0,0,48,95,143,0,1,0,0
15-Jul,61,74,135,78,210,0,210,5.2,5.5,149.078,0,93.1,13905.7,2.7935,0.13,0,623,8144,35318,0,0,54,123,177,0,0,1,0
15-Aug,47,84,131,75,133,0,133,5.1,5,148.295,0,91.9,13935.8,2.6362,0.14,0,724,7542,33587,0,0,41,106,147,0,0,1,0
15-Sep,57,55,112,72,64,0,64,5,4.6,147.554,0,87.2,13972.2,2.36525,0.14,0,512,6180,26098,0,0,45,116,161,0,0,1,0
15-Oct,33,50,83,59,42,0,42,5,4.4,146.397,0,90,13996.9,2.29,0.12,0,569,8308,27496,0,0,57,81,138,0,0,0,1
15-Nov,48,65,113,49,204,1,205,5.1,4.5,144.85,0,91.3,13993.4,2.158,0.12,0,609,5706,27092,0,0,55,115,170,0,0,0,1
15-Dec,46,40,86,44,232,0,232,5,4.4,143.955,0,92.6,14060.2,2.0375,0.24,0,667,4589,23333,0,0,46,82,128,0,0,0,1
16-Jan,56,59,115,32,19,12,31,4.8,5.1,144.638,0,92,14121.1,1.9485,0.34,0,712,5466,31489,0,0,26,84,110,1,0,0,0
16-Feb,41,61,102,38,31,15,46,4.9,5,143.979,0,91.7,14135.3,1.7636,0.38,0,921,5513,30436,0,0,42,89,131,1,0,0,0
16-Mar,23,60,83,51,147,2,149,5,5,143.659,0,91,14135.4,1.96875,0.36,0,580,5653,29665,0,0,61,122,183,1,0,0,0
16-Apr,38,63,101,58,167,0,167,5.1,4.4,145.475,0,89,14106.2,2.11275,0.37,0,494,5846,29226,0,0,50,85,135,0,1,0,0
16-May,31,56,87,63,117,0,117,4.8,4.2,146.416,0,94.7,14095.5,2.2682,0.37,0,593,5765,27700,0,0,52,83,135,0,1,0,0
16-Jun,45,40,85,77,30,0,30,4.9,4.8,144.887,0,93.5,14104.9,2.3655,0.38,0,561,6419,28916,0,0,75,82,157,0,1,0,0
16-Jul,46,46,92,77,260,0,260,4.8,5,143.27,0,90,14160.1,2.239,0.39,0,626,6688,31506,0,0,38,82,120,0,0,1,0
16-Aug,67,50,117,77,233,0,233,4.9,5.1,142.803,0,89.8,14176.7,2.1776,0.4,0,721,6601,32073,0,0,42,100,142,0,0,1,0
16-Sep,47,46,93,71,188,0,188,5,4.6,144.851,0,91.2,14209.1,2.2185,0.4,0,742,6852,36505,0,0,56,77,133,0,0,1,0
16-Oct,42,44,86,62,79,0,79,4.9,4.2,142.217,0,87.2,14235.4,2.2494,0.4,0,620,5706,28922,0,0,69,78,147,0,0,0,1
16-Nov,39,44,83,50,64,0,64,4.7,3.9,139.975,0,93.8,14273.6,2.1815,0.41,0,976,6460,29910,0,0,70,68,138,0,0,0,1
16-Dec,30,41,71,33,49,2,51,4.7,4,139.457,0,98.2,14313.7,2.25425,0.54,0,1333,6115,34166,0,0,71,68,139,0,0,0,1
17-Jan,41,52,93,36,44,40,84,4.7,4.5,138.761,0,98.5,14373.7,2.349,0.65,0,1161,5613,28098,0,0,56,77,133,1,0,0,0
17-Feb,34,49,83,46,25,2,27,4.6,4.4,138.713,0,96.3,14416.8,2.304,0.66,0,1069,5472,28004,0,0,83,77,160,1,0,0,0
17-Mar,46,62,108,47,134,5,139,4.4,4.1,139.232,0,96.9,14476.3,2.325,0.79,0,1337,6571,32231,0,0,97,99,196,1,0,0,0
17-Apr,37,49,86,60,397,0,397,4.4,3.7,138.596,0,97,14509.3,2.41725,0.9,0,1026,5250,26800,0,0,46,81,127,0,1,0,0
17-May,38,52,90,66,216,0,216,4.4,3.7,138.601,0,97.1,14610.7,2.3914,0.91,0,984,5338,26244,0,0,46,62,108,0,1,0,0
17-Jun,51,35,86,76,108,0,108,4.3,3.8,137.691,0,95,14618.7,2.3465,1.04,0,1140,5098,25204,0,0,60,77,137,0,1,0,0
17-Jul,32,45,77,80,101,0,101,4.3,3.9,136.872,0,93.4,14660.2,2.2998,1.15,0,1422,5414,24602,0,0,47,67,114,0,0,1,0
