Total Gross Profit,Back Gross Profit,Front Gross Profit,Buyer Postal Code,Inventory Type,Make,Model,Color
5174.81,1729.66,3276.15,63143,U,Dodge,Challenger,ORANGE
3776.76,0,3607.76,62895,U,Cadillac,XT5,WHITE
3203.8,1137.69,1897.11,63033,U,Ford,Escape,GRAY
4161.41,1252.46,2739.95,63301,U,Chevrolet,Malibu,GOLD
6530.32,3809.93,2551.39,62052,U,Chevrolet,Camaro,YELLOW
6538.05,2486.62,3882.43,62021,U,Chevrolet,Silverado 1500,MAROON
4555.17,2029.22,2356.95,620851125,U,Chevrolet,Equinox,GRAY
3369,0,3200,62040,U,GMC,Acadia,BLACK
7698.16,1351.36,6177.8,620241655,U,Buick,Enclave,GRAY
5556.6,556,4831.6,62095,U,GMC,Terrain,BLACK
3024.41,1814.8,1040.61,63376,U,Chevrolet,Camaro,BLACK
5983.11,1377.93,4436.18,62035,U,Chevrolet,Equinox,WHITE
2818.77,94.49,2555.28,62001,U,Dodge,Ram 1500,BLUE
8071.8,2993.2,4909.6,62040,U,Ford,F-150,SILVER
1039.8,4673.33,-3802.53,72015,N,Chevrolet,Corvette,BLU
3926.77,4050.4,-292.63,62002,N,Chevrolet,Blazer,BLUE
3964.81,5115.22,-1319.41,620403316,N,Chevrolet,Impala,BLUE
-964.5,0,-1133.5,62095,N,Chevrolet,Camaro,BLUE
2235.7,440,1626.7,62411,U,Chevrolet,Silverado 3500HD,BLACK
2554.08,1521.85,863.23,62040,U,Chrysler,300,GRAY
4245.19,2025.12,2051.07,62037,U,Chevrolet,Cruze,BLACK
-238.18,201,-608.18,62002,N,Chevrolet,Spark,SILVER
531.61,0,362.61,62262,N,Chevrolet,Silverado 2500HD,BLACK
1013.79,0,844.79,63138,U,Chevrolet,Cruze,RED
4499.78,2268.03,2062.75,62002,U,Cadillac,XT5,MAROON
1547.84,154.05,1224.79,62012,U,Chevrolet,Cruze,RED
2483.12,0,2314.12,62221,U,Plymouth,Neon,WHITE
-363.7,60,-592.7,62012,N,Chevrolet,Blazer,RED
-3576.78,0,-3745.78,82718,N,Chevrolet,Corvette,RED
541.84,345.4,27.44,62234,U,GMC,Acadia,MAROON
1693.71,1329,195.71,62025,N,Chevrolet,Traverse,RED
-238.18,201,-608.18,62002,N,Chevrolet,Spark,TAN
900.7,201,530.7,62034,N,Chevrolet,Colorado,BLUE
2185.79,1385.93,630.86,62033,U,Chevrolet,Cruze,GRAY
1060.69,0,891.69,62281,N,Chevrolet,Equinox,SILVER
1471.03,1492.23,-190.2,620951450,N,Chevrolet,Trax,GREY
568.63,576.74,-177.11,62002,U,RAM,1500,GRAY
2460.1,201,2090.1,62025,U,GMC,Canyon,SILVER
2714.64,1315.56,1230.08,62052,U,RAM,1500 Classic,WHITE
2237.21,1870.32,197.89,62040,N,Chevrolet,Equinox,SILVER
7269.01,0,7100.01,63136,U,Hyundai,Sonata,WHITE
2500.96,2008.1,423.86,62640,U,Chevrolet,Cruze,BLUE
5619.54,3966.42,1484.12,62040,U,Mazda,CX-3,GREY
4402.63,2369.37,1864.26,62234,U,Chevrolet,Malibu,GRAY
3698.02,2018.59,1510.43,62707,U,Chevrolet,Camaro,
2472.1,1509.71,793.39,62047,U,Chevrolet,Silverado 1500,SILVER
3677.11,303.09,3205.02,63031,U,Chevrolet,Malibu,RED
1460.3,0,1291.3,62025,N,Chevrolet,Silverado 2500HD,WHITE
867.51,1201,-502.49,62014,U,Chevrolet,Silverado 1500,WHITE
