time_till_back_in_prison,drinking_prolem_yes,drug_history_yes,supervised_release_yes,married_when_jailed_yes,felony_sentence_yes,prison_work_program_yes,property_crime_yes,crime_against_person_yes,prior_convictions,years_of_education,rule_violations_in_prison,age_in_months,time_served_in_months
72,1,0,1,1,0,1,0,0,0,7,2,441,30
75,0,0,1,0,1,1,1,0,0,12,0,307,19
9,0,0,0,0,0,1,1,0,0,9,5,262,27
25,0,1,1,0,1,1,1,0,2,9,3,253,38
81,0,1,1,0,0,0,0,0,0,9,0,244,4
79,0,0,1,0,0,1,0,0,1,12,0,277,13
73,1,0,1,0,0,0,0,0,0,12,2,327,28
73,0,0,1,0,1,1,1,0,2,10,3,314,34
54,0,0,1,1,0,0,0,0,2,10,0,388,14
60,0,0,1,1,1,1,0,0,0,11,2,430,32
70,1,0,1,1,0,1,0,0,0,6,0,417,4
73,0,0,0,0,0,0,0,0,0,12,1,305,9
80,0,0,1,1,1,1,0,0,0,11,0,511,9
76,1,0,0,1,1,1,1,0,0,10,5,316,43
72,1,0,1,0,0,0,0,0,2,11,0,328,7
7,1,0,1,1,0,1,0,0,0,10,1,278,19
80,0,0,0,1,0,0,0,0,0,8,0,284,10
30,0,0,0,0,0,0,0,0,0,11,0,211,3
23,0,0,1,0,1,0,1,0,0,9,3,273,28
78,0,0,1,0,1,0,1,0,0,11,4,292,29
16,1,0,1,0,0,1,0,0,3,10,3,572,7
77,1,0,1,0,0,1,0,0,0,14,1,472,25
13,0,0,1,0,1,0,1,0,1,8,18,269,119
78,0,0,0,0,0,1,0,0,0,10,0,292,4
70,1,0,0,1,0,1,0,0,0,16,1,516,7
70,1,0,1,1,0,0,0,0,0,9,0,414,6
28,0,0,1,0,0,0,0,0,1,9,0,288,8
72,0,0,1,1,1,1,1,0,0,12,2,307,19
75,0,0,1,0,0,1,0,0,0,12,0,330,19
35,0,1,1,0,1,0,1,0,0,10,0,314,29
72,0,0,0,0,0,1,0,0,0,9,1,268,5
76,1,1,0,0,1,0,0,1,8,7,1,446,32
8,0,0,1,0,0,0,0,0,12,3,0,699,4
75,1,0,1,1,0,1,0,0,1,12,0,455,6
