MonthYear,TotalSales,AverageTemperature,TotalPrecip,LocalUE,Recession,Confidence,TERMCBAUTO48NS,UsedCPI,SandP500,DisposibleIncome,GasPrice,FederalFunds,Covid,GAUsers,GAPageviews,Leads,BOBBDC,NewInventory,UsedInventory,TotalInventory,q2,q3,q4,VDPs,SRPs,HandDPV,AppPV,NonSRPorVDP_PV,FormSuccess,SRPandVDP,demand_index,,,,,,,,,,
19-Jan,148,30,141,4,0,91.2,5.43,140.963,2607.389997,15501.7,2.24775,2.4,0,13955,83667,2061,1,30,171,201,0,0,0,23268,43495,183,402,21322,211,66763,712,,,,,,,,,,
19-Feb,153,34,146,3.7,0,93.8,5.5,140.242,2754.864206,15553.7,2.30925,2.4,0,12757,73197,1795,1,50,131,181,0,0,0,28982,31777,120,289,15723,182,60759,794,,,,,,,,,,
19-Mar,162,41,225,3.7,0,98.4,5.45,138.894,2803.983794,15568.9,2.516,2.41,0,16317,85100,2109,1,38,184,222,0,0,0,34821,37920,249,381,18027,222,72741,875,,,,,,,,,,
19-Apr,194,57,318,2.9,0,97.2,5.4,138.956,2903.799979,15524.4,2.7984,2.42,0,13417,75605,1963,1,40,151,191,1,0,0,34025,34092,392,348,15953,243,68117,672,,,,,,,,,,
19-May,176,66,309,3,0,100,5.35,138.993,2854.70591,15519.6,2.85925,2.39,0,13815,79937,2048,1,41,205,246,1,0,0,37464,35594,469,331,14809,226,73058,756,,,,,,,,,,
19-Jun,208,73,255,3.2,0,98.2,5.323333333,139.492,2890.165979,15546.4,2.71575,2.38,0,12821,69601,2193,1,49,170,219,1,0,0,33844,32569,456,377,14567,273,66413,876,,,,,,,,,,
19-Jul,218,78,195,3.4,0,98.4,5.296666667,139.491,2996.113636,15565.7,2.74,2.4,0,12880,70408,2567,1,42,171,213,0,1,0,33260,30971,533,498,16260,327,64231,787,,,,,,,,,,
19-Aug,183,75,493,3.3,0,89.8,5.27,140.832,2897.450451,15654.1,2.621,2.13,0,13534,80733,2233,1,56,127,183,0,1,0,36273,34506,502,404,18169,280,70779,759,,,,,,,,,,
19-Sep,189,75,97,2.7,0,93.2,5.33,140.334,2982.156006,15691.3,2.5922,2.04,0,11570,73162,2428,1,69,148,217,0,1,0,33032,30082,440,556,19758,378,63114,896,,,,,,,,,,
19-Oct,158,55,223,2.8,0,95.5,5.39,140.217,2977.675197,15718.1,2.627,1.83,0,13043,67648,2182,1,41,198,239,0,0,1,27804,26452,474,514,17746,261,54256,730,,,,,,,,,,
