Week,demand_index
12/30/18,125
1/6/19,108
1/13/19,153
1/20/19,153
1/27/19,173
2/3/19,195
2/10/19,170
2/17/19,213
2/24/19,216
3/3/19,181
3/10/19,204
3/17/19,171
3/24/19,159
3/31/19,160
4/7/19,158
4/14/19,191
4/21/19,155
4/28/19,168
5/5/19,191
5/12/19,175
5/19/19,185
5/26/19,205
6/2/19,172
6/9/19,150
6/16/19,181
6/23/19,172
6/30/19,201
7/7/19,183
7/14/19,212
7/21/19,206
7/28/19,186
8/4/19,204
8/11/19,201
8/18/19,198
8/25/19,156
9/1/19,195
9/8/19,162
9/15/19,192
9/22/19,172
9/29/19,175
10/6/19,185
10/13/19,179
10/20/19,176
10/27/19,190
11/3/19,175
11/10/19,185
11/17/19,158
11/24/19,140
12/1/19,143
12/8/19,136
12/15/19,140
12/22/19,170
12/29/19,142
1/5/20,191
1/12/20,172
1/19/20,176
1/26/20,194
2/2/20,162
2/9/20,201
2/16/20,196
2/23/20,201
3/1/20,194
3/8/20,188
3/15/20,126
3/22/20,130
3/29/20,141
4/5/20,116
4/12/20,146
4/19/20,139
4/26/20,162
5/3/20,181
5/10/20,180
5/17/20,184
5/24/20,209
5/31/20,167
6/7/20,178
6/14/20,193
6/21/20,198
6/28/20,198
7/5/20,182
7/12/20,184
7/19/20,186
7/26/20,178
8/2/20,180
8/9/20,203
8/16/20,158
8/23/20,168
8/30/20,155
9/6/20,174
9/13/20,160
9/20/20,162
9/27/20,182
10/4/20,158
10/11/20,165
10/18/20,167
10/25/20,149
11/1/20,113
11/8/20,152
11/15/20,142
11/22/20,147
11/29/20,139
12/6/20,165
12/13/20,151
12/20/20,169
12/27/20,178
1/3/21,166
1/10/21,183
1/17/21,178
1/24/21,173
1/31/21,139
2/7/21,189
2/14/21,177
2/21/21,221
2/28/21,231
3/7/21,207
3/14/21,222
3/21/21,205
3/28/21,205
4/4/21,179
4/11/21,229
4/18/21,171
4/25/21,177
5/2/21,162
5/9/21,193
5/16/21,181
5/23/21,163
5/30/21,178
6/6/21,162
6/13/21,188
6/20/21,187
6/27/21,165
7/4/21,184
7/11/21,166
7/18/21,174
7/25/21,154
8/1/21,159
8/8/21,152
8/15/21,166
8/22/21,169
8/29/21,149
9/5/21,142
9/12/21,156
9/19/21,159
9/26/21,155
10/3/21,195
10/10/21,166
10/17/21,161
10/24/21,141
10/31/21,137
11/7/21,140
11/14/21,139
11/21/21,117
11/28/21,167
12/5/21,145
12/12/21,156
12/19/21,134
12/26/21,159
1/2/22,149
1/9/22,166
1/16/22,193
1/23/22,157
1/30/22,106
2/6/22,178
2/13/22,153
2/20/22,195
2/27/22,191
3/6/22,192
3/13/22,150
3/20/22,178
3/27/22,148
4/3/22,160
4/10/22,159
4/17/22,166
4/24/22,152
5/1/22,143
5/8/22,175
5/15/22,130
5/22/22,135
5/29/22,136
6/5/22,151
6/12/22,144
6/19/22,140
6/26/22,152
7/3/22,169
7/10/22,142
7/17/22,152
7/24/22,174
7/31/22,161
8/7/22,145
8/14/22,174
8/21/22,153
8/28/22,129
9/4/22,128
9/11/22,143
9/18/22,121
9/25/22,136
10/2/22,120
10/9/22,123
10/16/22,150
10/23/22,122
10/30/22,129
11/6/22,128
11/13/22,124
11/20/22,118
11/27/22,113
12/4/22,127
12/11/22,135
12/18/22,130
12/25/22,115
1/1/23,161
1/8/23,154
1/15/23,165
1/22/23,145
1/29/23,153
2/5/23,142
2/12/23,153
2/19/23,161
2/26/23,169
3/5/23,157
3/12/23,142
3/19/23,147
3/26/23,138
4/2/23,121
4/9/23,130
4/16/23,130
4/23/23,133
4/30/23,151
5/7/23,146
5/14/23,116
5/21/23,134
5/28/23,156
6/4/23,150
6/11/23,168
6/18/23,149
6/25/23,136
7/2/23,146
7/9/23,134
7/16/23,177
7/23/23,167
7/30/23,138
8/6/23,115
8/13/23,141
8/20/23,154
8/27/23,112
9/3/23,122
9/10/23,104
9/17/23,113
9/24/23,126
10/1/23,126
10/8/23,116
10/15/23,115
10/22/23,128
10/29/23,115
