Date,UE,CPI_PC1
1/1/70,3.9,6.16246
2/1/70,4.2,6.42458
3/1/70,4.4,6.09418
4/1/70,4.6,6.06061
5/1/70,4.8,6.04396
6/1/70,4.9,6.01093
7/1/70,5,5.70652
8/1/70,5.1,5.69106
9/1/70,5.4,5.66038
10/1/70,5.5,5.63003
11/1/70,5.9,5.6
12/1/70,6.1,5.57029
1/1/71,5.9,5.27704
2/1/71,5.9,4.72441
3/1/71,6,4.43864
4/1/71,5.9,4.15584
5/1/71,5.9,4.40415
6/1/71,5.9,4.38144
7/1/71,6,4.37018
8/1/71,6.1,4.35897
9/1/71,6,4.08163
10/1/71,5.8,3.80711
11/1/71,6,3.53535
12/1/71,6,3.26633
1/1/72,5.8,3.25815
2/1/72,5.7,3.7594
3/1/72,5.8,3.5
4/1/72,5.7,3.49127
5/1/72,5.7,3.22581
6/1/72,5.7,2.96296
7/1/72,5.6,2.95567
8/1/72,5.6,2.9484
9/1/72,5.5,3.18627
10/1/72,5.6,3.17848
11/1/72,5.3,3.41463
12/1/72,5.2,3.40633
1/1/73,4.9,3.64078
2/1/73,5,3.86473
3/1/73,4.9,4.83092
4/1/73,5,5.3012
5/1/73,4.9,5.52885
6/1/73,4.9,5.9952
7/1/73,4.8,5.74163
8/1/73,4.8,7.39857
9/1/73,4.8,7.36342
10/1/73,4.6,8.05687
11/1/73,4.8,8.25472
12/1/73,4.9,8.94118
1/1/74,5.1,9.60187
2/1/74,5.2,10
3/1/74,5.1,10.13825
4/1/74,5.1,10.06865
5/1/74,5.1,10.70615
6/1/74,5.4,10.85973
7/1/74,5.5,11.53846
8/1/74,5.5,10.88889
9/1/74,5.9,11.9469
10/1/74,6,11.84211
11/1/74,6.6,12.20044
12/1/74,7.2,12.09503
1/1/75,8.1,11.75214
2/1/75,8.1,11.20507
3/1/75,8.6,10.46025
4/1/75,8.8,10.18711
5/1/75,9,9.25926
6/1/75,8.8,9.18367
7/1/75,8.6,9.53347
8/1/75,8.4,8.61723
9/1/75,8.4,7.90514
10/1/75,8.4,7.64706
