price,area,bedrooms,bathrooms,stories
1330000,7420,4,2,3
1225000,8960,4,4,4
1225000,9960,3,2,2
1221500,7500,4,2,2
1141000,7420,4,1,2
1085000,7500,3,3,1
1015000,8580,4,3,4
1015000,16200,5,3,2
987000,8100,4,1,2
980000,5750,3,2,4
980000,13200,3,1,2
968100,6000,4,3,2
931000,6550,4,2,2
924000,3500,4,2,2
924000,7800,3,2,2
910000,6000,4,1,2
910000,6600,4,2,2
896000,8500,3,2,4
889000,4600,3,2,2
885500,6420,3,2,2
875000,4320,3,1,2
868000,7155,3,2,1
864500,8050,3,1,1
864500,4560,3,2,2
857500,8800,3,2,2
854000,6540,4,2,2
846300,6000,3,2,4
840000,8875,3,1,1
840000,7950,5,2,2
840000,5500,4,2,2
840000,7475,3,2,4
840000,7000,3,1,4
829500,4880,4,2,2
819000,5960,3,3,2
812000,6840,5,1,2
808094,7000,3,2,4
804300,7482,3,2,3
798000,9000,4,2,4
796250,6000,3,1,4
791000,6000,4,2,4
787500,6550,3,1,2
784000,6360,3,2,4
770000,6480,3,2,4
770000,6000,4,2,4
756000,6000,4,2,4
756000,6000,3,2,3
752500,6000,3,2,4
749000,6600,3,1,4
745500,4300,3,2,2
742000,7440,3,2,1
742000,7440,3,2,4
742000,6325,3,1,4
735000,6000,4,2,4
735000,5150,3,2,4
735000,6000,3,2,2
735000,6000,3,1,2
734300,11440,4,1,2
724500,9000,4,2,4
721000,7680,4,2,4
721000,6000,3,2,4
714000,6000,3,2,2
707000,8880,2,1,1
707000,6240,4,2,2
703500,6360,4,2,3
700000,11175,3,1,1
693000,8880,3,2,2
693000,13200,2,1,1
689500,7700,3,2,1
686000,6000,3,1,1
679000,12090,4,2,2
679000,4000,3,2,2
675500,6000,4,2,4
672000,5020,3,1,4
668500,6600,2,2,4
665000,4040,3,1,2
665000,4260,4,2,2
665000,6420,3,2,3
665000,6500,3,2,3
665000,5700,3,1,1
665000,6000,3,2,3
662900,6000,3,1,2
661500,4000,3,2,2
661500,10500,3,2,1
658000,6000,3,2,4
651000,3760,3,1,2
651000,8250,3,2,3
651000,6670,3,1,3
647500,3960,3,1,1
647500,7410,3,1,1
644000,8580,5,3,2
644000,5000,3,1,2
641900,6750,2,1,1
640500,4800,3,2,4
630000,7200,3,2,1
630000,6000,4,2,4
630000,4100,3,2,3
630000,9000,3,1,1
630000,6400,3,1,1
629300,6600,3,2,3
626500,6000,4,1,3
623000,6600,3,2,1
623000,5500,3,1,3
619500,5500,3,2,4
619500,6350,3,2,3
619500,5500,3,2,1
616000,4500,3,1,4
616000,5450,4,2,1
612500,6420,3,1,3
610750,3240,4,1,3
609000,6615,4,2,2
609000,6600,3,1,1
609000,8372,3,1,3
608300,4300,6,2,2
608300,9620,3,1,1
602000,6800,2,1,1
602000,8000,3,1,1
602000,6900,3,2,1
595000,3700,4,1,2
595000,6420,3,1,1
595000,7020,3,1,1
595000,6540,3,1,1
595000,7231,3,1,2
595000,6254,4,2,1
595000,7320,4,2,2
595000,6525,3,2,4
594300,15600,3,1,1
588000,7160,3,1,1
588000,6500,3,2,3
587300,5500,3,1,3
587300,11460,3,1,3
586600,4800,3,1,1
581000,5828,4,1,4
581000,5200,3,1,3
581000,4800,3,1,3
580300,7000,3,1,1
577500,6000,3,2,4
574000,5400,4,2,2
574000,4640,4,1,2
574000,5000,3,1,3
574000,6360,3,1,1
574000,5800,3,2,4
565250,6660,4,2,2
560000,10500,4,2,2
560000,4800,5,2,3
560000,4700,4,1,2
560000,5000,3,1,4
560000,10500,2,1,1
560000,5500,3,2,2
560000,6360,3,1,3
560000,6600,4,2,1
560000,5136,3,1,2
556500,4400,4,1,2
556500,5400,5,1,2
553000,3300,3,3,2
553000,3650,3,2,2
553000,6100,3,2,1
552300,6900,3,1,1
549500,2817,4,2,2
549500,7980,3,1,1
546000,3150,3,2,1
546000,6210,4,1,4
546000,6100,3,1,3
546000,6600,4,2,2
542500,6825,3,1,1
539000,6710,3,2,2
538300,6450,3,2,1
532000,7800,3,1,1
528500,4600,2,2,1
525000,4260,4,1,2
525000,6540,4,2,2
525000,5500,3,2,1
525000,10269,3,1,1
525000,8400,3,1,2
525000,5300,4,2,1
525000,3800,3,1,2
525000,9800,4,2,2
525000,8520,3,1,1
524300,6050,3,1,1
522900,7085,3,1,1
521500,3180,3,2,2
521500,4500,4,2,1
521500,7200,3,1,2
514500,3410,3,1,2
514500,7980,3,1,1
511000,3000,3,2,2
511000,3000,3,1,2
511000,11410,2,1,2
511000,6100,3,1,1
507500,5720,2,1,2
504000,3540,2,1,1
504000,7600,4,1,2
504000,10700,3,1,2
504000,6600,3,1,1
503300,4800,2,1,1
500500,8150,3,2,1
497000,4410,4,3,2
497000,7686,3,1,1
495600,2800,3,2,2
493500,5948,3,1,2
490700,4200,3,1,2
490000,4520,3,1,2
490000,4095,3,1,2
490000,4120,2,1,1
490000,5400,4,1,2
490000,4770,3,1,1
490000,6300,3,1,1
490000,5800,2,1,1
490000,3000,3,1,2
490000,2970,3,1,3
490000,6720,3,1,1
490000,4646,3,1,2
490000,12900,3,1,1
489300,3420,4,2,2
489300,4995,4,2,1
486500,4350,2,1,1
483000,4160,3,1,3
483000,6040,3,1,1
483000,6862,3,1,2
483000,4815,2,1,1
479500,7000,3,1,2
479500,8100,4,1,4
476700,3420,4,2,2
476000,9166,2,1,1
476000,6321,3,1,2
476000,10240,2,1,1
475300,6440,2,1,1
469000,5170,3,1,4
469000,6000,2,1,1
469000,3630,3,1,2
469000,9667,4,2,2
469000,5400,2,1,2
469000,4320,3,1,1
465500,3745,3,1,2
462000,4160,3,1,1
462000,3880,3,2,2
462000,5680,3,1,2
462000,2870,2,1,2
462000,5010,3,1,2
461300,4510,4,2,2
458500,4000,3,1,2
458500,3840,3,1,2
455000,3760,3,1,1
455000,3640,3,1,2
455000,2550,3,1,2
455000,5320,3,1,2
455000,5360,3,1,2
455000,3520,3,1,1
455000,8400,4,1,4
454300,4100,2,2,1
454300,4990,4,2,2
451500,3510,3,1,3
451500,3450,3,1,2
451500,9860,3,1,1
451500,3520,2,1,2
448000,4510,4,1,2
448000,5885,2,1,1
448000,4000,3,1,2
448000,8250,3,1,1
448000,4040,3,1,2
447300,6360,2,1,1
447300,3162,3,1,2
447300,3510,3,1,2
444500,3750,2,1,1
441000,3968,3,1,2
441000,4900,2,1,2
440300,2880,3,1,2
440300,4880,3,1,1
440300,4920,3,1,2
438200,4950,4,1,2
437500,3900,3,1,2
434000,4500,3,2,3
434000,1905,5,1,2
434000,4075,3,1,1
434000,3500,4,1,2
434000,6450,4,1,2
431900,4032,2,1,1
430500,4400,2,1,1
430500,10360,2,1,1
427700,3400,3,1,2
427000,6360,2,1,1
427000,6360,2,1,2
427000,4500,2,1,1
427000,2175,3,1,2
427000,4360,4,1,2
427000,7770,2,1,1
423500,6650,3,1,2
423500,2787,3,1,1
420000,5500,3,1,2
420000,5040,3,1,2
420000,5850,2,1,1
420000,2610,4,3,2
420000,2953,3,1,2
420000,2747,4,2,2
420000,4410,2,1,1
420000,4000,4,2,2
420000,2325,3,1,2
420000,4600,3,2,2
420000,3640,3,2,2
420000,5800,3,1,1
420000,7000,3,1,1
420000,4079,3,1,3
420000,3520,3,1,2
420000,2145,3,1,3
420000,4500,3,1,1
419300,8250,3,1,1
419300,3450,3,1,2
416500,4840,3,1,2
416500,4080,3,1,2
416500,4046,3,1,2
413000,4632,4,1,2
413000,5985,3,1,1
412300,6060,2,1,1
409850,3600,3,1,1
409500,3680,3,2,2
409500,4040,2,1,2
409500,5600,2,1,1
406000,5900,4,2,2
406000,4992,3,2,2
406000,4340,3,1,1
406000,3000,4,1,3
406000,4320,3,1,2
402500,3630,3,2,2
402500,3460,3,2,1
402500,5400,3,1,1
400750,4500,3,1,2
400750,3460,4,1,2
399000,4100,4,1,1
399000,6480,3,1,2
399000,4500,3,2,2
399000,3960,3,1,2
399000,4050,2,1,2
392000,7260,3,2,1
392000,5500,4,1,2
392000,3000,3,1,2
392000,3290,2,1,1
392000,3816,2,1,1
392000,8080,3,1,1
392000,2145,4,2,1
388500,3780,2,1,2
388500,3180,4,2,2
385000,5300,5,2,2
385000,3180,2,2,1
385000,7152,3,1,2
385000,4080,2,1,1
385000,3850,2,1,1
385000,2015,3,1,2
385000,2176,2,1,2
383600,3350,3,1,2
381500,3150,2,2,1
378000,4820,3,1,2
378000,3420,2,1,2
378000,3600,2,1,1
378000,5830,2,1,1
378000,2856,3,1,3
378000,8400,2,1,1
377300,8250,3,1,1
377300,2520,5,2,1
377300,6930,4,1,2
374500,3480,2,1,1
371000,3600,3,1,1
371000,4040,2,1,1
371000,6020,3,1,1
371000,4050,2,1,1
371000,3584,2,1,1
370300,3120,3,1,2
370300,5450,2,1,1
367500,3630,2,1,1
367500,3630,2,1,1
367500,5640,2,1,1
367500,3600,2,1,1
364000,4280,2,1,1
364000,3570,3,1,2
364000,3180,3,1,2
364000,3000,2,1,2
364000,3520,2,2,1
364000,5960,3,1,2
364000,4130,3,2,2
364000,2850,3,2,2
364000,2275,3,1,3
363300,3520,3,1,1
360500,4500,2,1,1
360500,4000,2,1,1
357000,3150,3,1,2
357000,4500,4,2,2
357000,4500,2,1,1
357000,3640,2,1,1
353500,3850,3,1,1
350000,4240,3,1,2
350000,3650,3,1,2
350000,4600,4,1,2
350000,2135,3,2,2
350000,3036,3,1,2
350000,3990,3,1,2
350000,7424,3,1,1
350000,3480,3,1,1
350000,3600,6,1,2
350000,3640,2,1,1
350000,5900,2,1,1
350000,3120,3,1,2
350000,7350,2,1,1
350000,3512,2,1,1
350000,9500,3,1,2
350000,5880,2,1,1
350000,12944,3,1,1
349300,4900,3,1,2
346500,3060,3,1,1
346500,5320,2,1,1
346500,2145,3,1,3
343000,4000,2,1,1
343000,3185,2,1,1
343000,3850,3,1,1
343000,2145,3,1,3
343000,2610,3,1,2
343000,1950,3,2,2
342300,4040,2,1,1
339500,4785,3,1,2
339500,3450,3,1,1
339500,3640,2,1,1
336000,3500,4,1,2
336000,4960,4,1,3
336000,4120,2,1,2
336000,4750,2,1,1
336000,3720,2,1,1
336000,3750,3,1,1
336000,3100,3,1,2
336000,3185,2,1,1
335300,2700,3,1,1
333200,2145,3,1,2
332500,4040,2,1,1
332500,4775,4,1,2
329000,2500,2,1,1
329000,3180,4,1,2
329000,6060,3,1,1
329000,3480,4,1,2
329000,3792,4,1,2
329000,4040,2,1,1
329000,2145,3,1,2
329000,5880,3,1,1
325500,4500,2,1,1
325500,3930,2,1,1
323400,3640,4,1,2
322000,4370,3,1,2
322000,2684,2,1,1
322000,4320,3,1,1
322000,3120,3,1,2
315000,3450,1,1,1
315000,3986,2,2,1
315000,3500,2,1,1
315000,4095,2,1,1
315000,1650,3,1,2
315000,3450,3,1,2
315000,6750,2,1,1
315000,9000,3,1,2
315000,3069,2,1,1
314300,4500,3,1,2
312900,5495,3,1,1
311885,2398,3,1,1
311500,3000,3,1,1
311500,3850,3,1,2
311500,3500,2,1,1
