id,read,math,apt,prog_academic,prog_general,prog_vocational
1,34,40,352,0,0,1
2,39,33,449,0,0,1
3,63,48,648,0,1,0
4,44,41,501,0,1,0
5,47,43,762,0,1,0
6,47,46,658,0,1,0
7,57,59,800,0,1,0
8,39,52,613,0,1,0
9,48,52,531,0,0,1
10,47,49,528,1,0,0
11,34,45,584,0,1,0
12,37,45,610,0,0,1
13,47,39,586,0,0,1
14,47,54,769,0,1,0
15,39,44,402,0,0,1
16,47,44,521,0,0,1
17,47,48,478,0,1,0
18,50,49,629,0,0,1
19,28,43,603,1,0,0
20,60,57,633,0,1,0
21,44,61,724,1,0,0
22,42,39,515,0,0,1
23,65,64,748,0,1,0
24,52,66,634,0,1,0
25,47,42,630,1,0,0
26,60,62,800,0,1,0
27,53,61,652,0,1,0
28,39,54,621,1,0,0
29,52,49,683,1,0,0
30,41,42,531,0,1,0
31,55,52,625,1,0,0
32,50,66,605,0,0,1
33,57,72,698,0,1,0
34,73,57,679,0,1,0
35,60,50,691,1,0,0
36,44,44,612,1,0,0
37,41,40,572,0,0,1
38,45,50,625,0,1,0
39,66,67,734,0,1,0
40,42,43,551,1,0,0
41,50,45,549,0,1,0
42,46,55,622,0,0,1
43,47,43,557,0,1,0
44,47,45,678,0,0,1
45,34,41,467,0,0,1
46,45,44,631,0,1,0
47,47,49,625,0,1,0
48,57,52,584,0,1,0
49,50,39,485,0,0,1
50,50,42,568,1,0,0
51,42,42,593,1,0,0
52,50,53,590,0,1,0
53,34,46,529,0,0,1
54,47,46,661,1,0,0
55,52,49,579,0,1,0
56,55,46,502,0,0,1
57,71,72,794,0,1,0
58,55,40,529,0,0,1
59,65,63,703,0,1,0
60,57,51,635,0,1,0
61,76,60,765,0,1,0
62,65,48,732,1,0,0
63,52,60,537,1,0,0
64,50,45,648,0,0,1
65,55,66,667,0,1,0
66,68,56,576,0,0,1
67,37,42,476,0,0,1
68,73,71,797,0,1,0
69,44,40,548,0,0,1
70,57,41,599,1,0,0
71,57,56,766,1,0,0
72,42,47,596,0,0,1
73,50,53,716,0,1,0
74,57,50,661,0,1,0
75,60,51,548,0,0,1
76,47,51,595,0,1,0
77,61,49,689,0,1,0
78,39,54,577,0,1,0
79,60,49,633,0,1,0
80,65,68,713,0,1,0
81,63,59,668,0,1,0
82,68,65,800,0,1,0
83,50,41,571,0,0,1
84,63,54,636,1,0,0
85,55,57,691,1,0,0
86,44,54,682,1,0,0
87,50,46,605,1,0,0
88,68,64,618,0,1,0
89,35,40,522,0,0,1
90,42,50,671,0,1,0
91,50,56,666,0,0,1
92,52,57,739,1,0,0
93,73,62,800,0,1,0
94,55,61,782,0,1,0
95,73,71,800,0,1,0
96,65,61,749,0,1,0
97,60,58,613,0,1,0
98,57,51,648,0,0,1
99,47,56,640,1,0,0
100,63,71,793,0,1,0
101,60,67,800,0,1,0
102,52,51,698,0,1,0
103,76,64,676,0,1,0
104,54,57,630,0,1,0
105,50,45,598,0,1,0
106,36,37,404,0,0,1
107,47,47,629,0,0,1
108,34,41,637,1,0,0
109,42,42,574,1,0,0
110,52,50,620,0,0,1
111,39,39,622,1,0,0
112,52,48,689,0,1,0
113,44,51,556,0,1,0
114,68,62,725,0,1,0
115,42,43,571,1,0,0
116,57,54,681,0,1,0
117,34,39,565,0,0,1
118,55,58,629,1,0,0
119,42,45,584,1,0,0
120,63,54,589,0,1,0
121,68,53,788,0,0,1
122,52,58,779,0,1,0
123,68,56,605,1,0,0
124,42,41,614,0,0,1
125,68,58,768,0,1,0
126,42,57,715,1,0,0
127,63,57,770,0,1,0
128,39,38,508,0,1,0
129,44,46,527,1,0,0
130,43,55,685,1,0,0
131,65,57,649,0,1,0
132,73,73,800,0,1,0
133,50,40,535,0,0,1
134,44,39,474,1,0,0
135,63,65,696,0,1,0
136,65,70,792,0,1,0
137,63,65,800,0,1,0
138,43,40,427,0,0,1
139,68,61,800,0,1,0
140,44,40,399,0,0,1
141,63,47,566,0,0,1
