DATE,SP500_PCH
2013-12-13,-0.01014
2013-12-16,0.63200
2013-12-17,-0.31010
2013-12-18,1.66480
2013-12-19,-0.05799
2013-12-20,0.48187
2013-12-23,0.53181
2013-12-24,0.29158
2013-12-25,.
2013-12-26,.
2013-12-27,-0.03366
2013-12-30,-0.01792
2013-12-31,0.39597
2014-01-01,.
2014-01-02,.
2014-01-03,-0.03330
2014-01-06,-0.25118
2014-01-07,0.60818
2014-01-08,-0.02122
2014-01-09,0.03483
2014-01-10,0.23067
2014-01-13,-1.25762
2014-01-14,1.08179
2014-01-15,0.51662
2014-01-16,-0.13471
2014-01-17,-0.38951
2014-01-20,.
2014-01-21,.
2014-01-22,0.05749
2014-01-23,-0.88896
2014-01-24,-2.08755
2014-01-27,-0.48763
2014-01-28,0.61407
2014-01-29,-1.02092
2014-01-30,1.12670
2014-01-31,-0.64653
2014-02-03,-2.28319
2014-02-04,0.76411
2014-02-05,-0.20283
2014-02-06,1.24398
2014-02-07,1.33019
2014-02-10,0.15693
2014-02-11,1.10621
2014-02-12,-0.02693
2014-02-13,0.58101
2014-02-14,0.48092
2014-02-17,.
2014-02-18,.
2014-02-19,-0.65245
2014-02-20,0.60314
2014-02-21,-0.19187
2014-02-24,0.61865
2014-02-25,-0.13477
2014-02-26,0.00217
2014-02-27,0.49481
2014-02-28,0.27827
2014-03-03,-0.73785
2014-03-04,1.52677
2014-03-05,-0.00534
2014-03-06,0.17184
2014-03-07,0.05381
2014-03-10,-0.04632
2014-03-11,-0.50821
2014-03-12,0.03052
2014-03-13,-1.17011
2014-03-14,-0.28218
2014-03-17,0.96137
2014-03-18,0.72196
2014-03-19,-0.61317
2014-03-20,0.60405
2014-03-21,-0.29327
2014-03-24,-0.48647
2014-03-25,0.44039
2014-03-26,-0.70004
2014-03-27,-0.19001
2014-03-28,0.46402
2014-03-31,0.79241
2014-04-01,0.70393
2014-04-02,0.28533
2014-04-03,-0.11264
2014-04-04,-1.25373
2014-04-07,-1.07502
2014-04-08,0.37506
2014-04-09,1.09182
2014-04-10,-2.08847
2014-04-11,-0.94868
2014-04-14,0.82173
2014-04-15,0.67573
2014-04-16,1.04884
2014-04-17,0.13639
2014-04-18,.
2014-04-21,.
2014-04-22,0.40921
2014-04-23,-0.22133
2014-04-24,0.17170
2014-04-25,-0.80964
2014-04-28,0.32360
2014-04-29,0.47608
2014-04-30,0.29920
2014-05-01,-0.01433
2014-05-02,-0.13484
2014-05-05,0.18712
2014-05-06,-0.89884
2014-05-07,0.56165
2014-05-08,-0.13736
2014-05-09,0.15195
2014-05-12,0.96727
2014-05-13,0.04218
2014-05-14,-0.47010
2014-05-15,-0.93618
2014-05-16,0.37470
2014-05-19,0.38448
2014-05-20,-0.64984
2014-05-21,0.81161
2014-05-22,0.23623
2014-05-23,0.42484
2014-05-26,.
2014-05-27,.
2014-05-28,-0.11141
2014-05-29,0.53671
2014-05-30,0.18437
2014-06-02,0.07278
2014-06-03,-0.03792
2014-06-04,0.18917
2014-06-05,0.65253
2014-06-06,0.46278
2014-06-09,0.09387
2014-06-10,-0.02460
2014-06-11,-0.35370
2014-06-12,-0.70889
2014-06-13,0.31345
2014-06-16,0.08367
2014-06-17,0.21726
2014-06-18,0.77189
2014-06-19,0.12775
2014-06-20,0.17301
2014-06-23,-0.01325
2014-06-24,-0.64353
2014-06-25,0.48975
2014-06-26,-0.11789
2014-06-27,0.19109
2014-06-30,-0.03723
2014-07-01,0.66778
2014-07-02,0.06588
2014-07-03,0.54795
2014-07-04,.
2014-07-07,.
2014-07-08,-0.70488
2014-07-09,0.46443
2014-07-10,-0.41311
2014-07-11,0.14710
2014-07-14,0.48435
2014-07-15,-0.19321
2014-07-16,0.42011
2014-07-17,-1.18341
2014-07-18,1.02649
2014-07-21,-0.23203
2014-07-22,0.50161
2014-07-23,0.17544
2014-07-24,0.04882
2014-07-25,-0.48491
2014-07-28,0.02881
2014-07-29,-0.45277
2014-07-30,0.00609
2014-07-31,-1.99993
2014-08-01,-0.28591
2014-08-04,0.71891
2014-08-05,-0.96855
2014-08-06,0.00156
2014-08-07,-0.55566
2014-08-08,1.15314
2014-08-11,0.27594
2014-08-12,-0.16366
2014-08-13,0.67072
2014-08-14,0.43458
2014-08-15,-0.00614
2014-08-18,0.85317
2014-08-19,0.50007
2014-08-20,0.24778
2014-08-21,0.29499
2014-08-22,-0.19926
2014-08-25,0.47878
2014-08-26,0.10511
2014-08-27,0.00500
2014-08-28,-0.16899
2014-08-29,0.33204
2014-09-01,.
2014-09-02,.
2014-09-03,-0.07791
2014-09-04,-0.15344
2014-09-05,0.50359
2014-09-08,-0.30732
2014-09-09,-0.65450
2014-09-10,0.36461
2014-09-11,0.08819
2014-09-12,-0.59626
2014-09-15,-0.07101
2014-09-16,0.74844
2014-09-17,0.12957
2014-09-18,0.48912
2014-09-19,-0.04773
2014-09-22,-0.80133
2014-09-23,-0.57765
2014-09-24,0.78325
2014-09-25,-1.61687
2014-09-26,0.85758
2014-09-29,-0.25468
2014-09-30,-0.27859
2014-10-01,-1.32486
2014-10-02,0.00051
2014-10-03,1.11655
2014-10-06,-0.15651
2014-10-07,-1.51261
2014-10-08,1.74616
2014-10-09,-2.06614
2014-10-10,-1.14510
2014-10-13,-1.64679
2014-10-14,0.15789
2014-10-15,-0.81003
2014-10-16,0.01450
2014-10-17,1.28841
2014-10-20,0.91427
2014-10-21,1.95745
2014-10-22,-0.72993
2014-10-23,1.23034
2014-10-24,0.70534
2014-10-27,-0.15016
2014-10-28,1.19391
2014-10-29,-0.13854
2014-10-30,0.62301
2014-10-31,1.17314
2014-11-03,-0.01189
2014-11-04,-0.28298
2014-11-05,0.57005
2014-11-06,0.37755
2014-11-07,0.03495
2014-11-10,0.31202
2014-11-11,0.06967
2014-11-12,-0.07011
2014-11-13,0.05299
2014-11-14,0.02403
2014-11-17,0.07354
2014-11-18,0.51339
2014-11-19,-0.15011
2014-11-20,0.19671
2014-11-21,0.52369
2014-11-24,0.28641
2014-11-25,-0.11501
2014-11-26,0.28060
2014-11-27,.
2014-11-28,.
2014-12-01,-0.68293
2014-12-02,0.63844
2014-12-03,0.37647
2014-12-04,-0.11618
2014-12-05,0.16651
2014-12-08,-0.72565
2014-12-09,-0.02378
2014-12-10,-1.63509
2014-12-11,0.45357
2014-12-12,-1.62136
2014-12-15,-0.63426
2014-12-16,-0.84890
2014-12-17,2.03524
2014-12-18,2.40152
2014-12-19,0.45701
2014-12-22,0.38104
2014-12-23,0.17464
2014-12-24,-0.01393
2014-12-25,.
2014-12-26,.
2014-12-29,0.08618
2014-12-30,-0.48886
2014-12-31,-1.03108
2015-01-01,.
2015-01-02,.
2015-01-05,-1.82781
2015-01-06,-0.88935
2015-01-07,1.16298
2015-01-08,1.78883
2015-01-09,-0.84039
2015-01-12,-0.80937
2015-01-13,-0.25786
2015-01-14,-0.58131
2015-01-15,-0.92479
2015-01-16,1.34242
2015-01-19,.
2015-01-20,.
2015-01-21,0.47317
2015-01-22,1.52698
2015-01-23,-0.54916
2015-01-26,0.25685
2015-01-27,-1.33878
2015-01-28,-1.34956
2015-01-29,0.95347
2015-01-30,-1.29920
2015-02-02,1.29625
2015-02-03,1.44395
2015-02-04,-0.41560
2015-02-05,1.02914
2015-02-06,-0.34181
2015-02-09,-0.42472
2015-02-10,1.06755
2015-02-11,-0.00290
2015-02-12,0.96445
2015-02-13,0.40747
2015-02-16,.
2015-02-17,.
2015-02-18,-0.03142
2015-02-19,-0.10621
2015-02-20,0.61265
2015-02-23,-0.03033
2015-02-24,0.27587
2015-02-25,-0.07658
2015-02-26,-0.14760
2015-02-27,-0.29563
2015-03-02,0.61250
2015-03-03,-0.45386
2015-03-04,-0.43885
2015-03-05,0.11961
2015-03-06,-1.41739
2015-03-09,0.39445
2015-03-10,-1.69614
2015-03-11,-0.19177
2015-03-12,1.26015
2015-03-13,-0.60747
2015-03-16,1.35337
